temperature,ID_P,date_hatched,date_start,date_end,reason_removed,date_subadult,sex,date_adult,container,container_adult,pair,date_paired,excluded,reason_excluded,notes
38,1,4/03/2024,5/03/2024,1/04/2024,Dead,20/03/2024,Male,1/04/2024,,,,,0,,
38,2,4/03/2024,5/03/2024,30/05/2024,Dead,20/03/2024,Female,3/04/2024,6.36753,6.7126,2,6/04/2024,0,,
38,3,4/03/2024,5/03/2024,11/03/2024,Dead,,,,,,,,0,,
38,4,4/03/2024,5/03/2024,26/05/2024,Dead,25/03/2024,Male,3/04/2024,6.36974,6.5732,2,6/04/2024,0,,
38,5,4/03/2024,5/03/2024,11/03/2024,Dead,,,,,,,,0,,
38,6,4/03/2024,5/03/2024,11/03/2024,Dead,,,,,,,,0,,
38,7,4/03/2024,5/03/2024,1/04/2024,Dead,25/03/2024,Male,,,,,,0,,
38,8,4/03/2024,5/03/2024,2/04/2024,Frozen,20/03/2024,Female,1/04/2024,6.36869,6.71778,7,6/04/2024,0,,
38,9,4/03/2024,5/03/2024,11/03/2024,Dead,,,,,,,,0,,
38,10,4/03/2024,5/03/2024,11/03/2024,Dead,,,,,,,,0,,
38,11,4/03/2024,5/03/2024,11/03/2024,Dead,,,,,,,,0,,
38,12,4/03/2024,5/03/2024,30/05/2024,Dead,25/03/2024,Male,5/04/2024,6.36933,6.5668,9,6/04/2024,0,,
38,13,4/03/2024,5/03/2024,11/03/2024,Dead,,,,,,,,0,,
38,14,4/03/2024,5/03/2024,11/03/2024,Dead,,,,,,,,0,,
38,15,4/03/2024,5/03/2024,11/03/2024,Dead,,,,,,,,0,,
38,16,4/03/2024,5/03/2024,11/03/2024,Dead,,,,,,,,0,,
38,17,4/03/2024,5/03/2024,2/04/2024,Dead,20/03/2024,Female,1/04/2024,6.36788,6.78208,,,0,,
38,18,4/03/2024,5/03/2024,18/05/2024,Dead,25/03/2024,Female,1/04/2024,6.36912,6.69046,4,6/04/2024,0,,
38,19,4/03/2024,5/03/2024,11/03/2024,Dead,,,,,,,,0,,
38,20,4/03/2024,5/03/2024,4/05/2024,Frozen,25/03/2024,Male,3/04/2024,6.36803,6.55594,8,6/04/2024,0,,
32,21,4/03/2024,5/03/2024,20/04/2024,Frozen,25/03/2024,Male,8/04/2024,6.38302,6.57486,,,0,,
32,22,4/03/2024,5/03/2024,11/03/2024,Dead,,,,,,,,0,,
32,23,4/03/2024,5/03/2024,22/04/2024,Frozen,25/03/2024,Female,10/04/2024,6.38282,6.61261,42,14/04/2024,0,,
32,24,4/03/2024,5/03/2024,10/05/2024,Dead,29/03/2024,Male,14/04/2024,6.38319,6.59012,47,14/04/2024,0,,
32,25,4/03/2024,5/03/2024,20/04/2024,Frozen,27/03/2024,Male,14/04/2024,6.36803,6.55558,,,0,,
32,26,4/03/2024,5/03/2024,4/05/2024,Frozen,25/03/2024,Female,10/04/2024,6.36778,6.65787,43,14/04/2024,0,,
32,27,4/03/2024,5/03/2024,30/05/2024,Dead,27/03/2024,Male,10/04/2024,6.36764,6.59426,44,14/04/2024,0,,
32,28,4/03/2024,5/03/2024,16/04/2024,Frozen,27/03/2024,Male,14/04/2024,6.36753,6.57052,45,14/04/2024,1,died before eggs,
32,29,4/03/2024,5/03/2024,20/04/2024,Frozen,25/03/2024,Male,8/04/2024,6.38307,6.59373,,,0,,
32,30,4/03/2024,5/03/2024,30/05/2024,Dead,25/03/2024,Female,10/04/2024,6.36751,6.70381,44,14/04/2024,0,,
32,31,4/03/2024,5/03/2024,20/04/2024,Frozen,27/03/2024,Male,8/04/2024,6.36831,6.66683,,,0,,
32,32,4/03/2024,5/03/2024,4/05/2024,Frozen,25/03/2024,Male,8/04/2024,6.36763,6.58576,43,14/04/2024,0,,
32,33,4/03/2024,5/03/2024,27/03/2024,Escaped,,,,,,,,1,Escaped,
32,34,4/03/2024,5/03/2024,30/05/2024,Dead,1/04/2024,Female,22/04/2024,6.38426,6.56067,71,22/04/2024,0,,
32,35,4/03/2024,5/03/2024,30/05/2024,Dead,22/03/2024,Female,8/04/2024,6.38337,6.63905,41,14/04/2024,0,,
