date_laid,pair,hatching_success,date_hatched,no_hatchlings,notes
16/04/2024,12,1,25/04/2024,18,
16/04/2024,28,1,25/04/2024,86,
18/04/2024,14,1,26/04/2024,14,
18/04/2024,12,1,27/04/2024,16,
18/04/2024,28,1,26/04/2024,61,
20/04/2024,14,1,29/04/2024,12,
20/04/2024,12,1,29/04/2024,51,
20/04/2024,28,1,28/04/2024,82,
20/04/2024,24,1,28/04/2024,137,
22/04/2024,24,1,30/04/2024,78,
22/04/2024,30,1,1/05/2024,7,
22/04/2024,27,1,30/04/2024,19,
22/04/2024,29,1,2/05/2024,2,
22/04/2024,42,1,30/04/2024,55,
22/04/2024,14,1,30/04/2024,1,
24/04/2024,24,1,2/05/2024,78,
24/04/2024,27,1,3/05/2024,14,
24/04/2024,29,1,3/05/2024,4,
24/04/2024,30,1,3/05/2024,13,
26/04/2024,30,1,6/05/2024,25,
26/04/2024,21,1,4/05/2024,112,
26/04/2024,27,1,4/05/2024,44,
26/04/2024,32,1,6/05/2024,8,
26/04/2024,59,0,,0,failed to hatch
26/04/2024,31,1,4/05/2024,17,
26/04/2024,56,1,4/05/2024,3,
26/04/2024,52,1,4/05/2024,26,
26/04/2024,29,1,4/05/2024,3,
28/04/2024,32,1,8/05/2024,70,
28/04/2024,59,1,7/05/2024,28,
28/04/2024,22,0,,0,failed to hatch
28/04/2024,21,1,6/05/2024,34,
28/04/2024,56,1,6/05/2024,7,
28/04/2024,65,1,6/05/2024,21,
28/04/2024,37,0,,0,failed to hatch
30/04/2024,37,1,9/05/2024,1,
30/04/2024,56,1,12/05/2024,4,
30/04/2024,57,1,12/05/2024,6,
30/04/2024,65,1,9/05/2024,13,
30/04/2024,21,1,9/05/2024,31,
30/04/2024,15,1,14/05/2024,3,
30/04/2024,55,1,9/05/2024,18,
30/04/2024,36,1,9/05/2024,34,
30/04/2024,22,1,8/05/2024,13,
30/04/2024,51,1,12/05/2024,1,
30/04/2024,43,1,12/05/2024,4,
30/04/2024,59,1,8/05/2024,10,
2/05/2024,37,1,12/05/2024,1,
2/05/2024,58,1,12/05/2024,8,
2/05/2024,43,1,12/05/2024,15,
2/05/2024,56,1,12/05/2024,12,
2/05/2024,52,1,12/05/2024,6,
2/05/2024,46,1,13/05/2024,55,
2/05/2024,57,1,12/05/2024,6,
2/05/2024,65,1,12/05/2024,55,
2/05/2024,36,1,12/05/2024,51,
2/05/2024,55,1,12/05/2024,31,
2/05/2024,67,1,12/05/2024,12,
2/05/2024,32,1,12/05/2024,13,
2/05/2024,3,1,13/05/2024,3,
2/05/2024,59,1,12/05/2024,59,
2/05/2024,22,1,12/05/2024,12,
2/05/2024,51,1,13/05/2024,8,
4/05/2024,37,1,15/05/2024,1,
4/05/2024,43,1,12/05/2024,136,
4/05/2024,56,1,13/05/2024,46,
4/05/2024,51,1,13/05/2024,26,
4/05/2024,22,1,13/05/2024,22,
4/05/2024,59,1,13/05/2024,11,
4/05/2024,55,1,16/05/2024,45,
4/05/2024,67,1,13/05/2024,90,
4/05/2024,15,1,14/05/2024,1,
4/05/2024,36,1,13/05/2024,37,
4/05/2024,52,1,13/05/2024,12,
4/05/2024,65,1,13/05/2024,5,
4/05/2024,57,1,14/05/2024,2,
4/05/2024,56,1,13/05/2024,46,
4/05/2024,32,1,12/05/2024,19,
6/05/2024,62,0,,0,failed to hatch
6/05/2024,58,1,15/05/2024,6,
6/05/2024,37,1,17/05/2024,1,
6/05/2024,20,1,16/05/2024,18,
6/05/2024,52,1,15/05/2024,24,
6/05/2024,48,1,15/05/2024,1,
6/05/2024,15,1,16/05/2024,13,
6/05/2024,67,1,14/05/2024,6,
6/05/2024,55,1,15/05/2024,9,
6/05/2024,3,1,15/05/2024,5,
6/05/2024,31,1,15/05/2024,1,
8/05/2024,58,1,17/05/2024,10,
8/05/2024,62,1,18/05/2024,3,
8/05/2024,55,1,17/05/2024,21,
8/05/2024,38,1,17/05/2024,21,
8/05/2024,67,1,18/05/2024,20,
8/05/2024,52,1,17/05/2024,41,
8/05/2024,15,1,20/05/2024,5,
8/05/2024,46,1,16/05/2024,62,
8/05/2024,51,1,16/05/2024,2,
8/05/2024,3,1,17/05/2024,17,
8/05/2024,31,1,17/05/2024,3,
10/05/2024,67,0,,0,failed to hatch
10/05/2024,55,0,,0,failed to hatch
10/05/2024,70,1,22/05/2024,1,
10/05/2024,44,1,20/05/2024,1,
10/05/2024,41,0,,0,failed to hatch
10/05/2024,4,0,,0,failed to hatch
10/05/2024,16,0,,0,failed to hatch
10/05/2024,34,0,,0,failed to hatch
10/05/2024,46,0,,0,failed to hatch
10/05/2024,34,0,,0,failed to hatch
10/05/2024,31,1,18/05/2024,35,
12/05/2024,34,1,23/05/2024,1,
12/05/2024,25,0,,0,failed to hatch
12/05/2024,1,0,,0,failed to hatch
12/05/2024,70,1,20/05/2024,3,
12/05/2024,49,1,22/05/2024,7,
12/05/2024,38,1,22/05/2024,3,
12/05/2024,64,1,22/05/2024,2,
14/05/2024,49,1,23/05/2024,4,
14/05/2024,31,1,23/05/2024,5,
14/05/2024,70,1,20/05/2024,22,
14/05/2024,34,1,23/05/2024,62,
14/05/2024,25,0,,0,failed to hatch
14/05/2024,64,1,23/05/2024,6,
14/05/2024,44,0,,0,failed to hatch
14/05/2024,38,1,23/05/2024,4,
14/05/2024,48,0,,0,failed to hatch
16/05/2024,38,1,26/05/2024,19,
16/05/2024,48,1,28/05/2024,1,
16/05/2024,1,1,31/05/2024,1,
16/05/2024,25,0,,0,failed to hatch
16/05/2024,41,0,,0,failed to hatch
16/05/2024,49,1,23/06/2024,4,
16/05/2024,31,1,26/05/2024,4,
16/05/2024,70,1,26/05/2024,4,
16/05/2024,8,0,,0,failed to hatch
16/05/2024,3,1,26/05/2024,5,
18/05/2024,8,0,,0,failed to hatch
18/05/2024,70,0,,0,failed to hatch
18/05/2024,2,0,,0,failed to hatch
18/05/2024,3,1,28/05/2024,10,
18/05/2024,41,1,28/05/2024,1,
18/05/2024,31,1,28/05/2024,52,
18/05/2024,38,1,28/05/2024,42,
18/05/2024,48,1,4/06/2024,1,
18/05/2024,44,0,,0,failed to hatch
18/05/2024,1,1,30/05/2024,1,
18/05/2024,34,1,28/05/2024,3,
18/05/2024,25,0,,0,failed to hatch
18/05/2024,4,0,,0,failed to hatch
18/05/2024,16,0,,0,failed to hatch
20/05/2024,41,1,29/05/2024,9,
20/05/2024,44,0,,0,failed to hatch
20/05/2024,1,0,,0,failed to hatch
20/05/2024,34,1,31/05/2024,2,
20/05/2024,48,1,4/06/2024,1,
22/05/2024,1,1,5/06/2024,3,
22/05/2024,25,0,,0,failed to hatch
22/05/2024,44,1,1/06/2024,1,
22/05/2024,2,0,,0,failed to hatch
22/05/2024,41,0,,0,failed to hatch
22/05/2024,31,1,10/06/2024,1,
24/05/2024,50,1,6/06/2024,4,
24/05/2024,41,0,5/06/2024,1,
24/05/2024,2,0,,0,failed to hatch
24/05/2024,54,0,,0,failed to hatch
24/05/2024,44,0,,0,failed to hatch
26/05/2024,8,0,,0,failed to hatch
26/05/2024,50,1,4/06/2024,5,
