pair,date_6/4/2024,date_8/4/2024,date_10/4/2024,date_12/4/2024,date_14/4/2024,date_16/4/2024,date_18/4/2024,date_20/4/2024,date_22/4/2024,date_24/4/2024,date_26/4/2024,date_28/4/2024,date_30/4/2024,date_2/5/2024,date_4/5/2024,date_6/5/2024,date_8/5/2024,date_10/5/2024,date_12/5/2024,date_14/5/2024,date_16/5/2024,date_18/5/2024,date_20/5/2024,date_22/5/2024,date_24/5/2024,date_26/5/2024,date_28/5/2024,date_30/5/2024
1,0,0,0,0,0,0,0,0,0,2,0,0,13,7,36,10,0,0,24,0,2,23,31,107,10,7,20,18
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,33,29,67,4
3,0,0,0,0,0,0,0,0,3,37,31,66,98,7,0,24,37,0,1,1,5,16,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,4,1,2,2,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,,,,,
6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
8,0,0,0,0,0,0,0,0,0,0,1,2,0,7,4,0,6,0,0,22,4,10,0,0,0,8,8,4
9,0,0,0,0,0,0,0,0,0,0,0,0,0,29,69,0,1,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,0,0,0,0,0,0,2,5,5,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
12,0,72,111,17,40,37,51,129,4,,,,,,,,,,,,,,,,,,,
13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,,,,,,,,
14,0,11,74,22,111,1,39,23,116,33,,,,,,,,,,,,,,,,,,
15,0,0,0,0,0,0,0,10,0,45,200,13,36,0,31,148,20,20,,,,,,,,,,
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,49,8,2,0,19,48,0,0,0,,,
17,0,0,0,0,0,0,0,8,42,1,,,,,,,,,,,,,,,,,,
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
20,0,0,3,0,0,0,0,2,6,0,223,4,2,167,14,140,0,0,1,1,0,0,,,,,,
21,0,0,0,0,0,15,48,0,13,100,216,105,63,40,,,,,,,,,,,,,,
22,0,0,0,0,86,1,3,1,33,38,27,5,68,63,35,,,,,,,,,,,,,
