incubator_number,temperature,cricket,sex,date_start,date_end,reason_removed,date_subadult,date_adult,excluded,reason_excluded
15,24,1,Male,22/05/2023,10/01/2024,Dead,17/07/2023,16/08/2023,0,
15,24,2,Male,22/05/2023,30/10/2023,Dead,21/07/2023,28/08/2023,0,
15,24,3,Male,22/05/2023,11/12/2023,Dead,21/07/2023,16/08/2023,0,
15,24,4,,22/05/2023,16/06/2023,Dead,,,0,
15,24,5,Female,22/05/2023,8/11/2023,Dead,28/07/2023,6/09/2023,0,
15,24,6,Female,22/05/2023,6/11/2023,Dead,17/07/2023,14/08/2023,0,
15,24,7,,22/05/2023,26/05/2023,Dead,,,0,
15,24,8,,22/05/2023,2/06/2023,Dead,,,0,
15,24,9,,22/05/2023,7/06/2023,Dead,,,0,
15,24,10,Female,22/05/2023,15/11/2023,Dead,17/07/2023,21/08/2023,0,
15,24,11,Male,22/05/2023,12/01/2024,Dead,28/08/2023,4/10/2023,0,
15,24,12,,22/05/2023,2/06/2023,Dead,,,0,
15,24,13,Male,22/05/2023,29/01/2024,Dead,17/07/2023,23/08/2023,0,
15,24,14,,22/05/2023,29/05/2023,Missing,,,1,Missing
15,24,15,,22/05/2023,31/05/2023,Dead,,,0,
15,24,16,Male,22/05/2023,1/09/2023,Dead,17/07/2023,14/08/2023,0,
15,24,17,Female,22/05/2023,22/11/2023,Dead,7/08/2023,4/09/2023,0,
15,24,18,Female,22/05/2023,11/12/2023,Dead,21/07/2023,23/08/2023,0,
15,24,19,,22/05/2023,5/06/2023,Dead,,,0,
15,24,20,Male,22/05/2023,15/11/2023,Dead,17/07/2023,4/08/2023,0,
15,24,21,,22/05/2023,2/06/2023,Dead,,,0,
15,24,22,Male,22/05/2023,17/01/2024,Dead,17/07/2023,16/08/2023,0,
15,24,23,Male,22/05/2023,6/12/2023,Dead,17/07/2023,21/08/2023,0,
15,24,24,Male,22/05/2023,6/12/2023,Dead,24/07/2023,23/08/2023,0,
16,26,25,Male,22/05/2023,13/12/2023,Dead,10/07/2023,31/07/2023,0,
16,26,26,,22/05/2023,29/05/2023,Dead,,,0,
16,26,27,Female,22/05/2023,9/10/2023,Dead,10/07/2023,4/08/2023,0,
16,26,28,Male,22/05/2023,1/11/2023,Dead,17/07/2023,28/07/2023,0,
16,26,29,,22/05/2023,16/06/2023,Dead,,,0,
16,26,30,Female,22/05/2023,13/10/2023,Dead,10/07/2023,4/08/2023,0,
16,26,31,Male,22/05/2023,8/11/2023,Dead,10/07/2023,28/07/2023,0,
16,26,32,Male,22/05/2023,23/09/2023,Dead,26/06/2023,31/07/2023,0,
16,26,33,Male,22/05/2023,20/11/2023,Dead,21/06/2023,17/07/2023,0,
16,26,34,Male,22/05/2023,20/11/2023,Dead,3/07/2023,24/07/2023,0,
16,26,35,Female,22/05/2023,6/11/2023,Dead,10/07/2023,24/07/2023,0,
16,26,36,Female,22/05/2023,4/10/2023,Dead,10/07/2023,31/07/2023,0,
16,26,37,Female,22/05/2023,22/11/2023,Dead,3/07/2023,24/07/2023,0,
16,26,38,Female,22/05/2023,8/11/2023,Dead,21/06/2023,14/07/2023,0,
16,26,39,Female,22/05/2023,4/10/2023,Dead,3/07/2023,28/07/2023,0,
16,26,40,,22/05/2023,2/06/2023,Dead,,,0,
16,26,41,Male,22/05/2023,1/11/2023,Dead,3/07/2023,24/07/2023,0,
16,26,42,,22/05/2023,29/05/2023,Dead,,,0,
16,26,43,Male,22/05/2023,28/12/2023,Dead,10/07/2023,4/08/2023,0,
16,26,44,,22/05/2023,31/05/2023,Missing,,,1,Missing
16,26,45,Female,22/05/2023,2/10/2023,Dead,21/06/2023,21/07/2023,0,
16,26,46,Male,22/05/2023,16/10/2023,Dead,10/07/2023,7/08/2023,0,
16,26,47,Female,22/05/2023,6/12/2023,Dead,17/07/2023,11/08/2023,0,
16,26,48,Female,22/05/2023,13/11/2023,Dead,3/07/2023,21/07/2023,0,
17,30,49,Female,22/05/2023,23/09/2023,Dead,16/06/2023,3/07/2023,0,
17,30,50,Female,22/05/2023,4/10/2023,Dead,19/06/2023,3/07/2023,0,
17,30,51,Female,22/05/2023,30/08/2023,Dead,16/06/2023,3/07/2023,0,
17,30,52,,22/05/2023,5/06/2023,Dead,,,0,
17,30,53,Female,22/05/2023,16/10/2023,Dead,16/06/2023,3/07/2023,0,
17,30,54,Male,22/05/2023,11/10/2023,Dead,16/06/2023,3/07/2023,0,
17,30,55,Female,22/05/2023,27/09/2023,Dead,26/06/2023,10/07/2023,0,
17,30,56,,22/05/2023,2/06/2023,Dead,,,0,
17,30,57,Female,22/05/2023,3/11/2023,Dead,19/06/2023,3/07/2023,0,
17,30,58,Female,22/05/2023,22/09/2023,Dead,19/06/2023,3/07/2023,0,
17,30,59,Male,22/05/2023,27/10/2023,Dead,21/06/2023,3/07/2023,0,
17,30,60,,22/05/2023,2/06/2023,Dead,,,0,
17,30,61,Female,22/05/2023,31/07/2023,Dead,19/06/2023,3/07/2023,0,
17,30,62,Female,22/05/2023,20/09/2023,Dead,16/06/2023,3/07/2023,0,
17,30,63,Female,22/05/2023,25/09/2023,Dead,19/06/2023,3/07/2023,0,
17,30,64,Male,22/05/2023,23/10/2023,Dead,19/06/2023,3/07/2023,0,
17,30,65,Female,22/05/2023,4/09/2023,Dead,16/06/2023,3/07/2023,0,
17,30,66,,22/05/2023,12/06/2023,Dead,,,1,Accidental death
17,30,67,Male,22/05/2023,27/10/2023,Dead,16/06/2023,3/07/2023,0,
17,30,68,Male,22/05/2023,16/10/2023,Dead,14/07/2023,31/07/2023,0,
17,30,69,Female,22/05/2023,20/09/2023,Dead,16/06/2023,3/07/2023,0,
17,30,70,,22/05/2023,24/05/2023,Dead,,,1,Week 1 death/missing
17,30,71,Male,22/05/2023,5/07/2023,Dead,19/06/2023,,0,
17,30,72,Male,22/05/2023,8/09/2023,Dead,19/06/2023,10/07/2023,0,
18,20,73,,22/05/2023,7/06/2023,Dead,,,0,
18,20,74,,22/05/2023,10/07/2023,Missing,,,1,Escaped
18,20,75,,22/05/2023,24/05/2023,Missing,,,1,Week 1 death/missing
18,20,76,,22/05/2023,16/06/2023,Dead,,,0,
18,20,77,,22/05/2023,19/07/2023,Culled,,,0,
18,20,78,,22/05/2023,2/06/2023,Dead,,,0,
18,20,79,,22/05/2023,19/07/2023,Culled,,,0,
18,20,80,,22/05/2023,19/07/2023,Culled,,,0,
18,20,81,,22/05/2023,26/05/2023,Dead,,,0,
18,20,82,,22/05/2023,24/05/2023,Dead,,,1,Week 1 death/missing
18,20,83,,22/05/2023,5/06/2023,Dead,,,0,
18,20,84,,22/05/2023,31/05/2023,Dead,,,0,
18,20,85,,22/05/2023,19/07/2023,Culled,,,0,
18,20,86,,22/05/2023,19/07/2023,Culled,,,0,
18,20,87,,22/05/2023,19/07/2023,Culled,,,0,
18,20,88,,22/05/2023,19/07/2023,Culled,,,0,
18,20,89,,22/05/2023,19/07/2023,Culled,,,0,
18,20,90,,22/05/2023,9/06/2023,Dead,,,0,
18,20,91,,22/05/2023,19/07/2023,Culled,,,0,
18,20,92,,22/05/2023,5/06/2023,Dead,,,0,
18,20,93,,22/05/2023,19/07/2023,Culled,,,0,
18,20,94,,22/05/2023,19/07/2023,Culled,,,0,
