Time,Temperature,Humidity(%RH),MAC address(49:22:11:08:0C:D6)
2024-04-14 4:10:00 PM,31.35,56.95,
2024-04-14 4:00:00 PM,31.46,56.24,
2024-04-14 3:50:00 PM,31.46,55.12,
2024-04-14 3:40:00 PM,31.35,53.25,
2024-04-14 3:30:00 PM,31.47,50.8,
2024-04-14 3:20:00 PM,31.47,46.53,
2024-04-14 3:10:00 PM,31.42,38.2,
2024-04-14 3:00:00 PM,31.59,76.8,
2024-04-14 2:50:00 PM,31.59,76.84,
2024-04-14 2:40:00 PM,31.44,76.32,
2024-04-14 2:30:00 PM,31.49,76.37,
2024-04-14 2:20:00 PM,31.54,76.42,
2024-04-14 2:10:00 PM,31.58,76.46,
2024-04-14 2:00:00 PM,31.63,76.51,
2024-04-14 1:50:00 PM,31.68,76.55,
2024-04-14 1:40:00 PM,31.72,76.6,
2024-04-14 1:30:00 PM,31.77,76.64,
2024-04-14 1:20:00 PM,31.82,76.69,
2024-04-14 1:10:00 PM,31.86,76.73,
2024-04-14 1:00:00 PM,31.59,76.34,
2024-04-14 12:50:00 PM,31.61,76.38,
2024-04-14 12:40:00 PM,31.63,76.42,
2024-04-14 12:30:00 PM,31.65,76.46,
2024-04-14 12:20:00 PM,31.67,76.5,
2024-04-14 12:10:00 PM,31.68,76.54,
2024-04-14 12:00:00 PM,31.7,76.58,
2024-04-14 11:50:00 AM,31.72,76.62,
2024-04-14 11:40:00 AM,31.74,76.66,
2024-04-14 11:30:00 AM,31.75,76.7,
2024-04-14 11:20:00 AM,31.53,76.7,
2024-04-14 11:10:00 AM,31.58,76.65,
2024-04-14 11:00:00 AM,31.63,76.61,
2024-04-14 10:50:00 AM,31.67,76.57,
2024-04-14 10:40:00 AM,31.72,76.52,
2024-04-14 10:30:00 AM,31.77,76.48,
2024-04-14 10:20:00 AM,31.81,76.44,
2024-04-14 10:10:00 AM,31.86,76.39,
2024-04-14 10:00:00 AM,31.91,76.35,
2024-04-14 9:50:00 AM,31.95,76.31,
2024-04-14 9:40:00 AM,31.77,76.45,
2024-04-14 9:30:00 AM,31.75,76.39,
2024-04-14 9:20:00 AM,31.73,76.33,
2024-04-14 9:10:00 AM,31.71,76.27,
2024-04-14 9:00:00 AM,31.69,76.21,
2024-04-14 8:50:00 AM,31.67,76.16,
2024-04-14 8:40:00 AM,31.65,76.1,
2024-04-14 8:30:00 AM,31.63,76.04,
2024-04-14 8:20:00 AM,31.61,75.98,
2024-04-14 8:10:00 AM,31.59,75.93,
2024-04-14 8:00:00 AM,31.86,76.23,
2024-04-14 7:50:00 AM,31.83,76.18,
2024-04-14 7:40:00 AM,31.8,76.14,
2024-04-14 7:30:00 AM,31.77,76.1,
2024-04-14 7:20:00 AM,31.74,76.05,
2024-04-14 7:10:00 AM,31.71,76.01,
2024-04-14 7:00:00 AM,31.68,75.97,
2024-04-14 6:50:00 AM,31.65,75.92,
2024-04-14 6:40:00 AM,31.62,75.88,
2024-04-14 6:30:00 AM,31.59,75.84,
2024-04-14 6:20:00 AM,31.53,75.58,
2024-04-14 6:10:00 AM,31.52,75.65,
2024-04-14 6:00:00 AM,31.51,75.71,
2024-04-14 5:50:00 AM,31.5,75.77,
2024-04-14 5:40:00 AM,31.49,75.83,
2024-04-14 5:30:00 AM,31.48,75.89,
2024-04-14 5:20:00 AM,31.47,75.95,
2024-04-14 5:10:00 AM,31.46,76.01,
2024-04-14 5:00:00 AM,31.45,76.07,
2024-04-14 4:50:00 AM,31.44,76.13,
2024-04-14 4:40:00 AM,31.59,75.79,
2024-04-14 4:30:00 AM,31.57,75.88,
2024-04-14 4:20:00 AM,31.55,75.96,
2024-04-14 4:10:00 AM,31.53,76.04,
2024-04-14 4:00:00 AM,31.51,76.12,
2024-04-14 3:50:00 AM,31.49,76.21,
2024-04-14 3:40:00 AM,31.47,76.29,
2024-04-14 3:30:00 AM,31.45,76.37,
2024-04-14 3:20:00 AM,31.43,76.45,
2024-04-14 3:10:00 AM,31.42,76.53,
2024-04-14 3:00:00 AM,31.48,76.2,
2024-04-14 2:50:00 AM,31.45,76.31,
2024-04-14 2:40:00 AM,31.43,76.42,
2024-04-14 2:30:00 AM,31.41,76.53,
2024-04-14 2:20:00 AM,31.39,76.64,
