Time,Temperature(C),Humidity(%RH),MAC Address
2024-03-20 11:30 AM,31.68,68.48,49:22:11:25:0F:F3
2024-03-20 11:40 AM,31.97,62.62,
2024-03-20 11:50 AM,32.27,56.75,
2024-03-20 12:00 PM,32.57,50.89,
2024-03-20 12:10 PM,32.87,45.02,
2024-03-20 12:20 PM,33.16,39.16,
2024-03-20 12:30 PM,33.46,33.29,
2024-03-20 12:40 PM,33.76,27.43,
2024-03-20 12:50 PM,34.06,21.56,
2024-03-20 1:00 PM,34.36,15.69,
2024-03-20 1:10 PM,34.04,36.22,
2024-03-20 1:20 PM,34.07,40.16,
2024-03-20 1:30 PM,34.1,44.1,
2024-03-20 1:40 PM,34.14,48.04,
2024-03-20 1:50 PM,34.17,51.98,
2024-03-20 2:00 PM,34.2,55.92,
2024-03-20 2:10 PM,34.24,59.86,
2024-03-20 2:20 PM,34.27,63.8,
2024-03-20 2:30 PM,34.3,67.74,
2024-03-20 2:40 PM,34.34,71.68,
2024-03-20 2:50 PM,34.05,30.25,
2024-03-20 3:00 PM,34.07,33.49,
2024-03-20 3:10 PM,34.1,36.74,
2024-03-20 3:20 PM,34.13,39.98,
2024-03-20 3:30 PM,34.16,43.23,
2024-03-20 3:40 PM,34.19,46.47,
2024-03-20 3:50 PM,34.22,49.72,
2024-03-20 4:00 PM,34.25,52.96,
2024-03-20 4:10 PM,34.28,56.21,
2024-03-20 4:20 PM,34.31,59.46,
2024-03-20 4:30 PM,34.42,63.79,
2024-03-20 4:40 PM,34.38,60.2,
2024-03-20 4:50 PM,34.33,56.61,
2024-03-20 5:00 PM,34.28,53.02,
2024-03-20 5:10 PM,34.23,49.43,
2024-03-20 5:20 PM,34.19,45.84,
2024-03-20 5:30 PM,34.14,42.25,
2024-03-20 5:40 PM,34.09,38.66,
2024-03-20 5:50 PM,34.04,35.07,
2024-03-20 6:00 PM,33.99,31.47,
2024-03-20 6:10 PM,34.31,50.89,
2024-03-20 6:20 PM,34.32,51.41,
2024-03-20 6:30 PM,34.34,51.93,
2024-03-20 6:40 PM,34.36,52.45,
2024-03-20 6:50 PM,34.38,52.97,
2024-03-20 7:00 PM,34.4,53.49,
2024-03-20 7:10 PM,34.42,54.01,
2024-03-20 7:20 PM,34.44,54.53,
2024-03-20 7:30 PM,34.46,55.05,
2024-03-20 7:40 PM,34.48,55.58,
2024-03-20 7:50 PM,34.54,55.69,
2024-03-20 8:00 PM,34.52,55.98,
2024-03-20 8:10 PM,34.49,56.28,
2024-03-20 8:20 PM,34.47,56.58,
2024-03-20 8:30 PM,34.44,56.88,
2024-03-20 8:40 PM,34.42,57.17,
2024-03-20 8:50 PM,34.39,57.47,
2024-03-20 9:00 PM,34.37,57.77,
2024-03-20 9:10 PM,34.34,58.07,
2024-03-20 9:20 PM,34.31,58.37,
2024-03-20 9:30 PM,34.42,57.74,
2024-03-20 9:40 PM,34.38,58.02,
2024-03-20 9:50 PM,34.34,58.3,
2024-03-20 10:00 PM,34.3,58.58,
2024-03-20 10:10 PM,34.26,58.86,
2024-03-20 10:20 PM,34.22,59.14,
2024-03-20 10:30 PM,34.18,59.42,
2024-03-20 10:40 PM,34.14,59.7,
2024-03-20 10:50 PM,34.1,59.98,
2024-03-20 11:00 PM,34.05,60.26,
2024-03-20 11:10 PM,34.36,59.48,
2024-03-20 11:20 PM,34.33,59.75,
2024-03-20 11:30 PM,34.3,60.03,
2024-03-20 11:40 PM,34.27,60.3,
2024-03-20 11:50 PM,34.24,60.58,
2024-03-21 12:00 AM,34.2,60.85,
2024-03-21 12:10 AM,34.17,61.13,
2024-03-21 12:20 AM,34.14,61.4,
2024-03-21 12:30 AM,34.11,61.68,
2024-03-21 12:40 AM,34.07,61.96,
2024-03-21 12:50 AM,34.32,60.91,
2024-03-21 1:00 AM,34.29,61.16,
2024-03-21 1:10 AM,34.26,61.41,
2024-03-21 1:20 AM,34.23,61.66,
2024-03-21 1:30 AM,34.2,61.91,
2024-03-21 1:40 AM,34.17,62.17,
2024-03-21 1:50 AM,34.14,62.42,
2024-03-21 2:00 AM,34.11,62.67,
2024-03-21 2:10 AM,34.08,62.92,
2024-03-21 2:20 AM,34.05,63.18,
2024-03-21 2:30 AM,34.36,61.45,
2024-03-21 2:40 AM,34.33,61.7,
2024-03-21 2:50 AM,34.3,61.95,
2024-03-21 3:00 AM,34.27,62.2,
2024-03-21 3:10 AM,34.24,62.45,
2024-03-21 3:20 AM,34.21,62.7,
2024-03-21 3:30 AM,34.18,62.95,
2024-03-21 3:40 AM,34.15,63.2,
2024-03-21 3:50 AM,34.12,63.45,
2024-03-21 4:00 AM,34.08,63.7,
2024-03-21 4:10 AM,34.11,62.35,
2024-03-21 4:20 AM,34.15,62.56,
2024-03-21 4:30 AM,34.2,62.77,
2024-03-21 4:40 AM,34.24,62.99,
2024-03-21 4:50 AM,34.29,63.2,
2024-03-21 5:00 AM,34.33,63.42,
2024-03-21 5:10 AM,34.38,63.63,
2024-03-21 5:20 AM,34.42,63.85,
2024-03-21 5:30 AM,34.47,64.06,
2024-03-21 5:40 AM,34.52,64.28,
2024-03-21 5:50 AM,34.56,65.77,
