Time,Temperature(C),Humidity(%RH),MAC Address
17/05/2023 8:30,29.35,18.08,49:42:08:00:45:E8
17/05/2023 9:00,28.86,18.64,
17/05/2023 9:30,28.37,19.21,
17/05/2023 10:00,27.87,19.77,
17/05/2023 10:30,27.38,20.34,
17/05/2023 11:00,26.88,20.9,
17/05/2023 11:30,26.39,21.47,
17/05/2023 12:00,25.89,22.03,
17/05/2023 12:30,25.4,22.6,
17/05/2023 13:00,24.9,23.17,
17/05/2023 13:30,25.57,23.03,
17/05/2023 14:00,25.6,23.05,
17/05/2023 14:30,25.63,23.07,
17/05/2023 15:00,25.66,23.09,
17/05/2023 15:30,25.69,23.11,
17/05/2023 16:00,25.73,23.13,
17/05/2023 16:30,25.76,23.15,
17/05/2023 17:00,25.79,23.17,
17/05/2023 17:30,25.82,23.19,
17/05/2023 18:00,25.86,23.21,
17/05/2023 18:30,25.58,23.09,
17/05/2023 19:00,25.54,23.12,
17/05/2023 19:30,25.5,23.16,
17/05/2023 20:00,25.46,23.2,
17/05/2023 20:30,25.42,23.24,
17/05/2023 21:00,25.38,23.27,
17/05/2023 21:30,25.34,23.31,
17/05/2023 22:00,25.3,23.35,
17/05/2023 22:30,25.26,23.39,
17/05/2023 23:00,25.21,23.43,
17/05/2023 23:30,25.35,23.46,
18/05/2023 0:00,25.3,23.51,
18/05/2023 0:30,25.24,23.57,
18/05/2023 1:00,25.19,23.63,
18/05/2023 1:30,25.13,23.68,
18/05/2023 2:00,25.08,23.74,
18/05/2023 2:30,25.02,23.8,
18/05/2023 3:00,24.97,23.85,
18/05/2023 3:30,24.91,23.91,
18/05/2023 4:00,24.85,23.97,
18/05/2023 4:30,24.77,24.57,
18/05/2023 5:00,24.86,24.31,
18/05/2023 5:30,24.95,24.05,
18/05/2023 6:00,25.04,23.78,
18/05/2023 6:30,25.13,23.52,
18/05/2023 7:00,25.22,23.26,
18/05/2023 7:30,25.31,22.99,
18/05/2023 8:00,25.4,22.73,
18/05/2023 8:30,25.49,22.47,
18/05/2023 9:00,25.58,22.2,
18/05/2023 9:30,25.57,23.81,
18/05/2023 10:00,25.61,23.76,
18/05/2023 10:30,25.65,23.7,
18/05/2023 11:00,25.7,23.64,
18/05/2023 11:30,25.74,23.58,
18/05/2023 12:00,25.78,23.52,
18/05/2023 12:30,25.83,23.46,
18/05/2023 13:00,25.87,23.4,
18/05/2023 13:30,25.91,23.34,
18/05/2023 14:00,25.96,23.28,
18/05/2023 14:30,25.84,23.28,
18/05/2023 15:00,25.86,23.29,
18/05/2023 15:30,25.89,23.31,
18/05/2023 16:00,25.92,23.33,
18/05/2023 16:30,25.95,23.35,
18/05/2023 17:00,25.97,23.36,
18/05/2023 17:30,26,23.38,
18/05/2023 18:00,26.03,23.4,
18/05/2023 18:30,26.06,23.42,
18/05/2023 19:00,26.09,23.44,
18/05/2023 19:30,26.09,23.51,
18/05/2023 20:00,26.04,23.6,
18/05/2023 20:30,25.98,23.7,
18/05/2023 21:00,25.92,23.79,
18/05/2023 21:30,25.86,23.89,
18/05/2023 22:00,25.8,23.98,
18/05/2023 22:30,25.74,24.08,
18/05/2023 23:00,25.68,24.17,
18/05/2023 23:30,25.62,24.27,
19/05/2023 0:00,25.56,24.37,
19/05/2023 0:30,25.71,23.95,
19/05/2023 1:00,25.75,24.02,
19/05/2023 1:30,25.79,24.09,
19/05/2023 2:00,25.83,24.17,
19/05/2023 2:30,25.87,24.24,
19/05/2023 3:00,25.92,24.32,
19/05/2023 3:30,25.96,24.39,
19/05/2023 4:00,26,24.47,
19/05/2023 4:30,26.04,24.54,
19/05/2023 5:00,26.09,24.62,
19/05/2023 5:30,25.96,24.24,
19/05/2023 6:00,25.92,24.27,
19/05/2023 6:30,25.88,24.31,
19/05/2023 7:00,25.83,24.35,
19/05/2023 7:30,25.79,24.39,
19/05/2023 8:00,25.75,24.43,
19/05/2023 8:30,25.7,24.47,
19/05/2023 9:00,25.66,24.51,
19/05/2023 9:30,25.62,24.55,
19/05/2023 10:00,25.57,24.59,
19/05/2023 10:30,25.84,24.66,
19/05/2023 11:00,25.98,24.75,
19/05/2023 11:30,26.12,24.84,
19/05/2023 12:00,26.27,24.93,
19/05/2023 12:30,26.41,25.02,
19/05/2023 13:00,26.56,25.12,
19/05/2023 13:30,26.7,25.21,
19/05/2023 14:00,26.85,25.3,
19/05/2023 14:30,26.99,25.39,
19/05/2023 15:00,27.14,25.49,
19/05/2023 15:30,27.22,25.58,
19/05/2023 16:00,27.26,25.68,
19/05/2023 16:30,27.3,25.79,
19/05/2023 17:00,27.34,25.9,
19/05/2023 17:30,27.38,26.01,
19/05/2023 18:00,27.42,26.12,
19/05/2023 18:30,27.46,26.23,
19/05/2023 19:00,27.5,26.34,
19/05/2023 19:30,27.54,26.45,
19/05/2023 20:00,27.59,26.56,
19/05/2023 20:30,27.59,26.61,
19/05/2023 21:00,27.57,26.74,
19/05/2023 21:30,27.54,26.87,
19/05/2023 22:00,27.51,27.01,
19/05/2023 22:30,27.48,27.14,
19/05/2023 23:00,27.46,27.28,
19/05/2023 23:30,27.43,27.41,
20/05/2023 0:00,27.4,27.55,
20/05/2023 0:30,27.37,27.68,
20/05/2023 1:00,27.34,27.82,
20/05/2023 1:30,27.31,27.96,
20/05/2023 2:00,27.29,28.09,
20/05/2023 2:30,27.27,28.22,
20/05/2023 3:00,27.24,28.35,
20/05/2023 3:30,27.22,28.48,
20/05/2023 4:00,27.2,28.61,
20/05/2023 4:30,27.17,28.74,
20/05/2023 5:00,27.15,28.87,
20/05/2023 5:30,27.13,29,
20/05/2023 6:00,27.1,29.13,
20/05/2023 6:30,26.9,28.97,
20/05/2023 7:00,26.92,29.06,
20/05/2023 7:30,26.94,29.16,
20/05/2023 8:00,26.96,29.26,
20/05/2023 8:30,26.98,29.35,
20/05/2023 9:00,27.01,29.45,
20/05/2023 9:30,27.03,29.55,
20/05/2023 10:00,27.05,29.64,
20/05/2023 10:30,27.07,29.74,
20/05/2023 11:00,27.1,29.84,
20/05/2023 11:30,27.28,85.58,
20/05/2023 12:00,27.1,79.4,
20/05/2023 12:30,26.91,73.22,
20/05/2023 13:00,26.72,67.04,
20/05/2023 13:30,26.53,60.86,
20/05/2023 14:00,26.34,54.67,
20/05/2023 14:30,26.15,48.49,
20/05/2023 15:00,25.96,42.31,
20/05/2023 15:30,25.77,36.13,
20/05/2023 16:00,25.58,29.94,
20/05/2023 16:30,25.71,86.8,
20/05/2023 17:00,25.7,87.22,
20/05/2023 17:30,25.68,87.65,
20/05/2023 18:00,25.66,88.07,
20/05/2023 18:30,25.64,88.5,
20/05/2023 19:00,25.62,88.92,
20/05/2023 19:30,25.6,89.35,
20/05/2023 20:00,25.58,89.77,
20/05/2023 20:30,25.56,90.2,
20/05/2023 21:00,25.54,90.63,
20/05/2023 21:30,25.46,90.24,
20/05/2023 22:00,25.5,90.45,
20/05/2023 22:30,25.54,90.66,
20/05/2023 23:00,25.58,90.87,
20/05/2023 23:30,25.62,91.08,
21/05/2023 0:00,25.67,91.29,
21/05/2023 0:30,25.71,91.5,
21/05/2023 1:00,25.75,91.71,
21/05/2023 1:30,25.79,91.92,
21/05/2023 2:00,25.84,92.13,
21/05/2023 2:30,25.71,92.2,
21/05/2023 3:00,25.73,92.34,
21/05/2023 3:30,25.76,92.48,
21/05/2023 4:00,25.79,92.62,
21/05/2023 4:30,25.82,92.76,
21/05/2023 5:00,25.84,92.9,
21/05/2023 5:30,25.87,93.04,
21/05/2023 6:00,25.9,93.18,
21/05/2023 6:30,25.93,93.32,
21/05/2023 7:00,25.96,93.46,
21/05/2023 7:30,25.53,90.8,
21/05/2023 8:00,25.67,91.64,
21/05/2023 8:30,25.82,92.49,
21/05/2023 9:00,25.96,93.34,
21/05/2023 9:30,26.11,94.19,
21/05/2023 10:00,26.25,95.03,
21/05/2023 10:30,26.4,95.88,
21/05/2023 11:00,26.54,96.73,
21/05/2023 11:30,26.69,97.58,
21/05/2023 12:00,26.84,98.43,
21/05/2023 12:30,27.65,99.01,
21/05/2023 13:00,27.38,97.67,
21/05/2023 13:30,27.1,96.33,
21/05/2023 14:00,26.82,94.99,
21/05/2023 14:30,26.54,93.65,
21/05/2023 15:00,26.26,92.31,
21/05/2023 15:30,25.98,90.97,
21/05/2023 16:00,25.7,89.63,
21/05/2023 16:30,25.42,88.29,
21/05/2023 17:00,25.14,86.95,
21/05/2023 17:30,24.7,86.53,
21/05/2023 18:00,24.95,87.91,
21/05/2023 18:30,25.2,89.29,
21/05/2023 19:00,25.45,90.67,
21/05/2023 19:30,25.7,92.05,
21/05/2023 20:00,25.95,93.43,
21/05/2023 20:30,26.2,94.81,
21/05/2023 21:00,26.45,96.19,
21/05/2023 21:30,26.7,97.57,
21/05/2023 22:00,26.96,98.95,
21/05/2023 22:30,26.84,99.06,
21/05/2023 23:00,26.75,98.94,
21/05/2023 23:30,26.65,98.82,
22/05/2023 0:00,26.55,98.7,
22/05/2023 0:30,26.45,98.58,
22/05/2023 1:00,26.36,98.46,
22/05/2023 1:30,26.26,98.34,
22/05/2023 2:00,26.16,98.22,
22/05/2023 2:30,26.06,98.1,
22/05/2023 3:00,25.96,97.97,
22/05/2023 3:30,25.84,98.28,
22/05/2023 4:00,25.77,98.07,
22/05/2023 4:30,25.69,97.86,
22/05/2023 5:00,25.61,97.64,
22/05/2023 5:30,25.53,97.43,
22/05/2023 6:00,25.46,97.21,
22/05/2023 6:30,25.38,97,
22/05/2023 7:00,25.3,96.78,
22/05/2023 7:30,25.22,96.57,
22/05/2023 8:00,25.14,96.35,
22/05/2023 8:30,24.87,90.26,
22/05/2023 9:00,24.96,91.11,
22/05/2023 9:30,25.05,91.96,
22/05/2023 10:00,25.15,92.81,
22/05/2023 10:30,25.24,93.66,
22/05/2023 11:00,25.33,94.52,
22/05/2023 11:30,25.43,95.37,
22/05/2023 12:00,25.52,96.22,
22/05/2023 12:30,25.61,97.07,
22/05/2023 13:00,25.71,97.93,
22/05/2023 13:30,26.33,61.73,
22/05/2023 14:00,26.11,65.23,
22/05/2023 14:30,25.89,68.73,
22/05/2023 15:00,25.67,72.24,
22/05/2023 15:30,25.45,75.74,
22/05/2023 16:00,25.22,79.25,
22/05/2023 16:30,25,82.75,
22/05/2023 17:00,24.78,86.26,
22/05/2023 17:30,24.56,89.76,
22/05/2023 18:00,24.33,93.27,
22/05/2023 18:30,24.33,89.2,
22/05/2023 19:00,24.37,89.39,
22/05/2023 19:30,24.42,89.59,
22/05/2023 20:00,24.47,89.79,
22/05/2023 20:30,24.52,89.99,
22/05/2023 21:00,24.56,90.18,
22/05/2023 21:30,24.61,90.38,
22/05/2023 22:00,24.66,90.58,
22/05/2023 22:30,24.71,90.78,
22/05/2023 23:00,24.76,90.98,
22/05/2023 23:30,24.58,91.69,
23/05/2023 0:00,24.6,91.58,
23/05/2023 0:30,24.63,91.46,
23/05/2023 1:00,24.65,91.34,
23/05/2023 1:30,24.68,91.23,
23/05/2023 2:00,24.7,91.11,
23/05/2023 2:30,24.73,90.99,
23/05/2023 3:00,24.75,90.88,
23/05/2023 3:30,24.78,90.76,
23/05/2023 4:00,24.81,90.64,
23/05/2023 4:30,24.71,90.71,
23/05/2023 5:00,24.78,91.29,
23/05/2023 5:30,24.85,91.88,
23/05/2023 6:00,24.93,92.47,
23/05/2023 6:30,25,93.06,
23/05/2023 7:00,25.07,93.64,
23/05/2023 7:30,25.15,94.23,
23/05/2023 8:00,25.22,94.82,
23/05/2023 8:30,25.29,95.41,
23/05/2023 9:00,25.37,96,
23/05/2023 9:30,25.6,95.06,
23/05/2023 10:00,25.74,94.97,
23/05/2023 10:30,25.88,94.87,
23/05/2023 11:00,26.03,94.77,
23/05/2023 11:30,26.17,94.68,
23/05/2023 12:00,26.32,94.58,
23/05/2023 12:30,26.46,94.48,
23/05/2023 13:00,26.61,94.39,
23/05/2023 13:30,26.75,94.29,
23/05/2023 14:00,26.9,94.19,
23/05/2023 14:30,25.84,85.46,
23/05/2023 15:00,25.77,85.97,
23/05/2023 15:30,25.69,86.49,
23/05/2023 16:00,25.61,87.01,
23/05/2023 16:30,25.53,87.52,
23/05/2023 17:00,25.46,88.04,
23/05/2023 17:30,25.38,88.56,
23/05/2023 18:00,25.3,89.07,
23/05/2023 18:30,25.22,89.59,
23/05/2023 19:00,25.14,90.11,
23/05/2023 19:30,25.46,89.24,
23/05/2023 20:00,25.44,89.37,
23/05/2023 20:30,25.41,89.5,
23/05/2023 21:00,25.38,89.63,
23/05/2023 21:30,25.35,89.76,
23/05/2023 22:00,25.33,89.9,
23/05/2023 22:30,25.3,90.03,
23/05/2023 23:00,25.27,90.16,
23/05/2023 23:30,25.24,90.29,
24/05/2023 0:00,25.21,90.43,
24/05/2023 0:30,25.24,90.41,
24/05/2023 1:00,25.25,90.46,
24/05/2023 1:30,25.27,90.51,
24/05/2023 2:00,25.29,90.56,
24/05/2023 2:30,25.3,90.61,
24/05/2023 3:00,25.32,90.66,
