Time,Temperature,Humidity,MAC address(49:42:08:00:51:39)
2024-04-14 5:40:00 PM,26.68,33.65,
2024-04-14 5:30:00 PM,31.18,60.61,
2024-04-14 5:20:00 PM,31.05,42.65,
2024-04-14 5:10:00 PM,31.15,46.41,
2024-04-14 5:00:00 PM,31.24,50.17,
2024-04-14 4:50:00 PM,31.33,53.93,
2024-04-14 4:40:00 PM,31.42,57.69,
2024-04-14 4:30:00 PM,31.51,61.45,
2024-04-14 4:20:00 PM,31.6,65.21,
2024-04-14 4:10:00 PM,31.69,68.97,
2024-04-14 4:00:00 PM,31.78,72.73,
2024-04-14 3:50:00 PM,31.87,76.48,
2024-04-14 3:40:00 PM,31.58,76.52,
2024-04-14 3:30:00 PM,31.63,76.43,
2024-04-14 3:20:00 PM,31.68,76.35,
2024-04-14 3:10:00 PM,31.72,76.26,
2024-04-14 3:00:00 PM,31.77,76.18,
2024-04-14 2:50:00 PM,31.82,76.09,
2024-04-14 2:40:00 PM,31.86,76.01,
2024-04-14 2:30:00 PM,31.91,75.92,
2024-04-14 2:20:00 PM,31.96,75.84,
2024-04-14 2:10:00 PM,32,75.76,
2024-04-14 2:00:00 PM,31.58,76.31,
2024-04-14 1:50:00 PM,31.61,76.22,
2024-04-14 1:40:00 PM,31.64,76.14,
2024-04-14 1:30:00 PM,31.67,76.06,
2024-04-14 1:20:00 PM,31.7,75.97,
2024-04-14 1:10:00 PM,31.73,75.89,
2024-04-14 1:00:00 PM,31.76,75.81,
2024-04-14 12:50:00 PM,31.79,75.72,
2024-04-14 12:40:00 PM,31.82,75.64,
2024-04-14 12:30:00 PM,31.84,75.56,
2024-04-14 12:20:00 PM,31.93,75.3,
2024-04-14 12:10:00 PM,31.88,75.4,
2024-04-14 12:00:00 PM,31.84,75.5,
2024-04-14 11:50:00 AM,31.8,75.6,
2024-04-14 11:40:00 AM,31.76,75.7,
2024-04-14 11:30:00 AM,31.72,75.8,
2024-04-14 11:20:00 AM,31.68,75.9,
2024-04-14 11:10:00 AM,31.64,76,
2024-04-14 11:00:00 AM,31.6,76.1,
2024-04-14 10:50:00 AM,31.56,76.19,
2024-04-14 10:40:00 AM,32.16,75.9,
2024-04-14 10:30:00 AM,32.1,75.77,
2024-04-14 10:20:00 AM,32.04,75.64,
2024-04-14 10:10:00 AM,31.98,75.52,
2024-04-14 10:00:00 AM,31.92,75.39,
2024-04-14 9:50:00 AM,31.86,75.27,
2024-04-14 9:40:00 AM,31.8,75.14,
2024-04-14 9:30:00 AM,31.74,75.02,
2024-04-14 9:20:00 AM,31.68,74.89,
2024-04-14 9:10:00 AM,31.62,74.77,
2024-04-14 9:00:00 AM,31.93,75.77,
2024-04-14 8:50:00 AM,31.89,75.65,
2024-04-14 8:40:00 AM,31.85,75.53,
2024-04-14 8:30:00 AM,31.81,75.42,
2024-04-14 8:20:00 AM,31.77,75.3,
2024-04-14 8:10:00 AM,31.74,75.19,
2024-04-14 8:00:00 AM,31.7,75.07,
2024-04-14 7:50:00 AM,31.66,74.96,
2024-04-14 7:40:00 AM,31.62,74.84,
2024-04-14 7:30:00 AM,31.59,74.73,
2024-04-14 7:20:00 AM,31.93,75.39,
2024-04-14 7:10:00 AM,31.84,75.19,
2024-04-14 7:00:00 AM,31.76,75,
2024-04-14 6:50:00 AM,31.68,74.8,
2024-04-14 6:40:00 AM,31.59,74.61,
2024-04-14 6:30:00 AM,31.51,74.41,
2024-04-14 6:20:00 AM,31.43,74.22,
2024-04-14 6:10:00 AM,31.34,74.02,
2024-04-14 6:00:00 AM,31.26,73.83,
2024-04-14 5:50:00 AM,31.18,73.64,
2024-04-14 5:40:00 AM,30.78,74.97,
2024-04-14 5:30:00 AM,30.86,74.85,
2024-04-14 5:20:00 AM,30.93,74.74,
2024-04-14 5:10:00 AM,31,74.62,
2024-04-14 5:00:00 AM,31.08,74.51,
2024-04-14 4:50:00 AM,31.15,74.39,
2024-04-14 4:40:00 AM,31.22,74.28,
2024-04-14 4:30:00 AM,31.3,74.16,
2024-04-14 4:20:00 AM,31.37,74.05,
2024-04-14 4:10:00 AM,31.44,73.94,
2024-04-14 4:00:00 AM,31.58,73.08,
2024-04-14 3:50:00 AM,31.48,73.34,
2024-04-14 3:40:00 AM,31.38,73.6,
2024-04-14 3:30:00 AM,31.28,73.86,
2024-04-14 3:20:00 AM,31.18,74.12,
2024-04-14 3:10:00 AM,31.08,74.38,
2024-04-14 3:00:00 AM,30.98,74.64,
2024-04-14 2:50:00 AM,30.88,74.9,
2024-04-14 2:40:00 AM,30.78,75.16,
2024-04-14 2:30:00 AM,30.68,75.42,
2024-04-14 2:20:00 AM,30.71,75.96,
2024-04-14 2:10:00 AM,30.81,75.71,
2024-04-14 2:00:00 AM,30.9,75.47,
2024-04-14 1:50:00 AM,31,75.23,
2024-04-14 1:40:00 AM,31.09,74.99,
2024-04-14 1:30:00 AM,31.19,74.74,
2024-04-14 1:20:00 AM,31.28,74.5,
2024-04-14 1:10:00 AM,31.38,74.26,
2024-04-14 1:00:00 AM,31.47,74.02,
2024-04-14 12:50:00 AM,31.56,73.78,
2024-04-14 12:40:00 AM,30.77,76.24,
2024-04-14 12:30:00 AM,30.86,76.02,
2024-04-14 12:20:00 AM,30.95,75.81,
2024-04-14 12:10:00 AM,31.04,75.6,
2024-04-14 12:00:00 AM,31.13,75.39,
2024-04-13 11:50:00 PM,31.21,75.18,
2024-04-13 11:40:00 PM,31.3,74.97,
2024-04-13 11:30:00 PM,31.39,74.76,
2024-04-13 11:20:00 PM,31.48,74.55,
2024-04-13 11:10:00 PM,31.56,74.34,
2024-04-13 11:00:00 PM,30.79,76.99,
2024-04-13 10:50:00 PM,30.87,76.76,
2024-04-13 10:40:00 PM,30.94,76.53,
2024-04-13 10:30:00 PM,31.01,76.31,
2024-04-13 10:20:00 PM,31.08,76.08,
2024-04-13 10:10:00 PM,31.16,75.86,
2024-04-13 10:00:00 PM,31.23,75.63,
2024-04-13 9:50:00 PM,31.3,75.41,
2024-04-13 9:40:00 PM,31.37,75.18,
2024-04-13 9:30:00 PM,31.44,74.96,
2024-04-13 9:20:00 PM,30.81,75.99,
2024-04-13 9:10:00 PM,30.94,76.16,
2024-04-13 9:00:00 PM,31.06,76.33,
2024-04-13 8:50:00 PM,31.19,76.5,
2024-04-13 8:40:00 PM,31.31,76.67,
2024-04-13 8:30:00 PM,31.44,76.84,
2024-04-13 8:20:00 PM,31.56,77.01,
2024-04-13 8:10:00 PM,31.69,77.18,
2024-04-13 8:00:00 PM,31.81,77.35,
2024-04-13 7:50:00 PM,31.93,77.52,
2024-04-13 7:40:00 PM,32.06,76.55,
2024-04-13 7:30:00 PM,32,76.69,
2024-04-13 7:20:00 PM,31.95,76.82,
2024-04-13 7:10:00 PM,31.89,76.96,
2024-04-13 7:00:00 PM,31.84,77.09,
2024-04-13 6:50:00 PM,31.78,77.23,
2024-04-13 6:40:00 PM,31.73,77.36,
2024-04-13 6:30:00 PM,31.67,77.5,
2024-04-13 6:20:00 PM,31.62,77.63,
2024-04-13 6:10:00 PM,31.57,77.76,
2024-04-13 6:00:00 PM,31.93,76.73,
2024-04-13 5:50:00 PM,31.88,76.88,
2024-04-13 5:40:00 PM,31.83,77.02,
2024-04-13 5:30:00 PM,31.78,77.16,
2024-04-13 5:20:00 PM,31.73,77.3,
2024-04-13 5:10:00 PM,31.69,77.45,
2024-04-13 5:00:00 PM,31.64,77.59,
2024-04-13 4:50:00 PM,31.59,77.73,
2024-04-13 4:40:00 PM,31.54,77.87,
2024-04-13 4:30:00 PM,31.5,78.01,
2024-04-13 4:20:00 PM,31.81,77.27,
2024-04-13 4:10:00 PM,31.76,77.39,
2024-04-13 4:00:00 PM,31.72,77.51,
2024-04-13 3:50:00 PM,31.68,77.63,
2024-04-13 3:40:00 PM,31.64,77.75,
2024-04-13 3:30:00 PM,31.6,77.87,
2024-04-13 3:20:00 PM,31.56,77.99,
2024-04-13 3:10:00 PM,31.52,78.11,
2024-04-13 3:00:00 PM,31.48,78.23,
2024-04-13 2:50:00 PM,31.44,78.34,
2024-04-13 2:40:00 PM,31.56,77.44,
2024-04-13 2:30:00 PM,31.61,77.56,
