Time,Temperature(℃),Humidity(%RH),MAC address(49:42:08:00:45:D3)
22/04/2024 15:50,30.14,33.25,
22/04/2024 15:40,30.11,27.12,
22/04/2024 15:30,30.13,28.76,
22/04/2024 15:20,30.14,30.4,
22/04/2024 15:10,30.16,32.04,
22/04/2024 15:00,30.17,33.68,
22/04/2024 14:50,30.19,35.31,
22/04/2024 14:40,30.2,36.95,
22/04/2024 14:30,30.22,38.59,
22/04/2024 14:20,30.23,40.23,
22/04/2024 14:10,30.24,41.86,
22/04/2024 14:00,30.24,41.87,
22/04/2024 13:50,30.22,41.84,
22/04/2024 13:40,30.21,41.82,
22/04/2024 13:30,30.19,41.8,
22/04/2024 13:20,30.18,41.77,
22/04/2024 13:10,30.16,41.75,
22/04/2024 13:00,30.15,41.73,
22/04/2024 12:50,30.13,41.7,
22/04/2024 12:40,30.12,41.68,
22/04/2024 12:30,30.11,41.66,
22/04/2024 12:20,30.11,41.6,
22/04/2024 12:10,30.14,41.63,
22/04/2024 12:00,30.17,41.66,
22/04/2024 11:50,30.2,41.69,
22/04/2024 11:40,30.23,41.72,
22/04/2024 11:30,30.25,41.75,
22/04/2024 11:20,30.28,41.78,
22/04/2024 11:10,30.31,41.81,
22/04/2024 11:00,30.34,41.84,
22/04/2024 10:50,30.36,41.86,
22/04/2024 10:40,30.14,41.73,
22/04/2024 10:30,30.17,41.79,
22/04/2024 10:20,30.19,41.84,
22/04/2024 10:10,30.22,41.89,
22/04/2024 10:00,30.24,41.95,
22/04/2024 9:50,30.27,42,
22/04/2024 9:40,30.29,42.05,
22/04/2024 9:30,30.32,42.11,
22/04/2024 9:20,30.34,42.16,
22/04/2024 9:10,30.36,42.21,
22/04/2024 9:00,30.3,42.22,
22/04/2024 8:50,30.27,42.28,
22/04/2024 8:40,30.25,42.33,
22/04/2024 8:30,30.23,42.38,
22/04/2024 8:20,30.21,42.43,
22/04/2024 8:10,30.19,42.49,
22/04/2024 8:00,30.17,42.54,
22/04/2024 7:50,30.15,42.59,
22/04/2024 7:40,30.13,42.64,
22/04/2024 7:30,30.11,42.69,
22/04/2024 7:20,30.24,42.65,
22/04/2024 7:10,30.19,42.71,
22/04/2024 7:00,30.15,42.77,
22/04/2024 6:50,30.11,42.82,
22/04/2024 6:40,30.06,42.88,
22/04/2024 6:30,30.02,42.93,
22/04/2024 6:20,29.98,42.99,
22/04/2024 6:10,29.93,43.04,
22/04/2024 6:00,29.89,43.1,
22/04/2024 5:50,29.85,43.15,
22/04/2024 5:40,29.98,43.37,
22/04/2024 5:30,29.96,43.44,
22/04/2024 5:20,29.94,43.51,
22/04/2024 5:10,29.92,43.57,
22/04/2024 5:00,29.9,43.64,
22/04/2024 4:50,29.88,43.71,
22/04/2024 4:40,29.86,43.77,
22/04/2024 4:30,29.84,43.84,
22/04/2024 4:20,29.82,43.91,
22/04/2024 4:10,29.8,43.97,
22/04/2024 4:00,29.92,44.02,
22/04/2024 3:50,29.91,44.11,
22/04/2024 3:40,29.9,44.2,
22/04/2024 3:30,29.89,44.28,
22/04/2024 3:20,29.88,44.37,
22/04/2024 3:10,29.87,44.46,
22/04/2024 3:00,29.86,44.54,
22/04/2024 2:50,29.85,44.63,
22/04/2024 2:40,29.84,44.72,
22/04/2024 2:30,29.83,44.8,
22/04/2024 2:20,29.98,44.82,
22/04/2024 2:10,29.95,44.91,
22/04/2024 2:00,29.93,45,
22/04/2024 1:50,29.91,45.09,
22/04/2024 1:40,29.88,45.18,
22/04/2024 1:30,29.86,45.26,
22/04/2024 1:20,29.84,45.35,
22/04/2024 1:10,29.81,45.44,
22/04/2024 1:00,29.79,45.53,
22/04/2024 0:50,29.77,45.61,
22/04/2024 0:40,29.6,45.59,
22/04/2024 0:30,29.63,45.67,
22/04/2024 0:20,29.66,45.75,
22/04/2024 0:10,29.69,45.82,
22/04/2024 0:00,29.72,45.9,
21/04/2024 23:50,29.75,45.97,
21/04/2024 23:40,29.78,46.05,
21/04/2024 23:30,29.81,46.12,
21/04/2024 23:20,29.84,46.2,
21/04/2024 23:10,29.86,46.27,
21/04/2024 23:00,30.11,46.43,
21/04/2024 22:50,30.06,46.51,
21/04/2024 22:40,30.02,46.59,
21/04/2024 22:30,29.98,46.66,
21/04/2024 22:20,29.94,46.74,
21/04/2024 22:10,29.89,46.82,
21/04/2024 22:00,29.85,46.89,
21/04/2024 21:50,29.81,46.97,
21/04/2024 21:40,29.77,47.05,
21/04/2024 21:30,29.73,47.12,
21/04/2024 21:20,29.82,47.04,
21/04/2024 21:10,29.88,47.09,
21/04/2024 21:00,29.93,47.13,
21/04/2024 20:50,29.98,47.17,
21/04/2024 20:40,30.04,47.21,
21/04/2024 20:30,30.09,47.25,
21/04/2024 20:20,30.14,47.29,
21/04/2024 20:10,30.2,47.33,
21/04/2024 20:00,30.25,47.37,
21/04/2024 19:50,30.3,47.41,
21/04/2024 19:40,30.11,47.34,
21/04/2024 19:30,30.14,47.39,
21/04/2024 19:20,30.16,47.44,
21/04/2024 19:10,30.18,47.48,
21/04/2024 19:00,30.2,47.53,
21/04/2024 18:50,30.22,47.57,
21/04/2024 18:40,30.24,47.62,
21/04/2024 18:30,30.26,47.66,
21/04/2024 18:20,30.28,47.71,
21/04/2024 18:10,30.3,47.75,
21/04/2024 18:00,30.11,47.77,
21/04/2024 17:50,30.14,47.8,
21/04/2024 17:40,30.16,47.83,
21/04/2024 17:30,30.18,47.85,
21/04/2024 17:20,30.2,47.88,
21/04/2024 17:10,30.22,47.9,
21/04/2024 17:00,30.24,47.93,
21/04/2024 16:50,30.26,47.95,
21/04/2024 16:40,30.28,47.98,
21/04/2024 16:30,30.3,48,
21/04/2024 16:20,30.11,48.02,
21/04/2024 16:10,30.14,48.05,
21/04/2024 16:00,30.16,48.07,
21/04/2024 15:50,30.18,48.1,
21/04/2024 15:40,30.2,48.12,
21/04/2024 15:30,30.22,48.15,
21/04/2024 15:20,30.24,48.17,
21/04/2024 15:10,30.26,48.2,
21/04/2024 15:00,30.28,48.22,
21/04/2024 14:50,30.3,48.24,
21/04/2024 14:40,30.11,48.34,
21/04/2024 14:30,30.14,48.38,
21/04/2024 14:20,30.16,48.41,
21/04/2024 14:10,30.18,48.45,
21/04/2024 14:00,30.2,48.48,
21/04/2024 13:50,30.22,48.52,
21/04/2024 13:40,30.24,48.55,
21/04/2024 13:30,30.26,48.59,
21/04/2024 13:20,30.28,48.62,
21/04/2024 13:10,30.3,48.65,
21/04/2024 13:00,30.11,48.44,
21/04/2024 12:50,30.14,48.47,
21/04/2024 12:40,30.17,48.49,
21/04/2024 12:30,30.2,48.51,
21/04/2024 12:20,30.23,48.53,
21/04/2024 12:10,30.25,48.55,
21/04/2024 12:00,30.28,48.57,
21/04/2024 11:50,30.31,48.59,
21/04/2024 11:40,30.34,48.61,
21/04/2024 11:30,30.36,48.63,
21/04/2024 11:20,30.36,48.79,
21/04/2024 11:10,30.33,48.76,
21/04/2024 11:00,30.3,48.74,
21/04/2024 10:50,30.27,48.72,
21/04/2024 10:40,30.24,48.7,
21/04/2024 10:30,30.22,48.68,
21/04/2024 10:20,30.19,48.66,
21/04/2024 10:10,30.16,48.64,
21/04/2024 10:00,30.13,48.62,
21/04/2024 9:50,30.11,48.6,
21/04/2024 9:40,30.12,48.57,
21/04/2024 9:30,30.15,48.64,
21/04/2024 9:20,30.18,48.7,
21/04/2024 9:10,30.21,48.77,
21/04/2024 9:00,30.24,48.83,
21/04/2024 8:50,30.26,48.9,
21/04/2024 8:40,30.29,48.96,
21/04/2024 8:30,30.32,49.03,
21/04/2024 8:20,30.35,49.09,
21/04/2024 8:10,30.37,49.15,
21/04/2024 8:00,30.3,49.21,
21/04/2024 7:50,30.27,49.3,
21/04/2024 7:40,30.25,49.38,
21/04/2024 7:30,30.23,49.46,
21/04/2024 7:20,30.21,49.54,
21/04/2024 7:10,30.19,49.62,
21/04/2024 7:00,30.17,49.7,
21/04/2024 6:50,30.15,49.78,
21/04/2024 6:40,30.13,49.86,
21/04/2024 6:30,30.11,49.94,
21/04/2024 6:20,30.11,50.01,
21/04/2024 6:10,30.08,50.12,
21/04/2024 6:00,30.05,50.23,
21/04/2024 5:50,30.02,50.34,
21/04/2024 5:40,29.99,50.45,
21/04/2024 5:30,29.96,50.56,
21/04/2024 5:20,29.93,50.67,
21/04/2024 5:10,29.9,50.78,
21/04/2024 5:00,29.87,50.89,
21/04/2024 4:50,29.85,50.99,
21/04/2024 4:40,29.83,51.08,
21/04/2024 4:30,29.84,51.2,
21/04/2024 4:20,29.85,51.31,
21/04/2024 4:10,29.86,51.42,
21/04/2024 4:00,29.87,51.54,
21/04/2024 3:50,29.88,51.65,
21/04/2024 3:40,29.89,51.76,
21/04/2024 3:30,29.9,51.88,
21/04/2024 3:20,29.91,51.99,
21/04/2024 3:10,29.92,52.1,
21/04/2024 3:00,29.92,52.09,
21/04/2024 2:50,29.9,52.27,
21/04/2024 2:40,29.88,52.45,
21/04/2024 2:30,29.86,52.63,
21/04/2024 2:20,29.84,52.81,
21/04/2024 2:10,29.82,52.99,
21/04/2024 2:00,29.8,53.17,
21/04/2024 1:50,29.78,53.35,
21/04/2024 1:40,29.76,53.53,
21/04/2024 1:30,29.74,53.7,
21/04/2024 1:20,29.74,53.74,
21/04/2024 1:10,29.77,53.83,
21/04/2024 1:00,29.8,53.91,
21/04/2024 0:50,29.82,53.99,
21/04/2024 0:40,29.85,54.07,
21/04/2024 0:30,29.88,54.15,
21/04/2024 0:20,29.9,54.23,
21/04/2024 0:10,29.93,54.31,
21/04/2024 0:00,29.96,54.39,
20/04/2024 23:50,29.98,54.47,
20/04/2024 23:40,29.97,54.69,
20/04/2024 23:30,29.94,54.79,
20/04/2024 23:20,29.91,54.89,
20/04/2024 23:10,29.89,54.99,
20/04/2024 23:00,29.86,55.09,
20/04/2024 22:50,29.84,55.19,
20/04/2024 22:40,29.81,55.29,
20/04/2024 22:30,29.79,55.39,
20/04/2024 22:20,29.76,55.49,
20/04/2024 22:10,29.74,55.58,
20/04/2024 22:00,29.8,55.53,
20/04/2024 21:50,29.81,55.62,
20/04/2024 21:40,29.82,55.71,
20/04/2024 21:30,29.82,55.79,
20/04/2024 21:20,29.83,55.88,
20/04/2024 21:10,29.84,55.96,
20/04/2024 21:00,29.84,56.05,
20/04/2024 20:50,29.85,56.13,
20/04/2024 20:40,29.86,56.22,
20/04/2024 20:30,29.86,56.3,
20/04/2024 20:20,29.86,56.34,
20/04/2024 20:10,29.91,56.3,
20/04/2024 20:00,29.96,56.26,
20/04/2024 19:50,30.01,56.23,
20/04/2024 19:40,30.06,56.19,
20/04/2024 19:30,30.11,56.15,
20/04/2024 19:20,30.16,56.12,
20/04/2024 19:10,30.21,56.08,
20/04/2024 19:00,30.26,56.04,
20/04/2024 18:50,30.3,56.01,
20/04/2024 18:40,30.36,56.23,
20/04/2024 18:30,30.33,56.18,
20/04/2024 18:20,30.3,56.14,
20/04/2024 18:10,30.27,56.1,
20/04/2024 18:00,30.24,56.05,
20/04/2024 17:50,30.22,56.01,
20/04/2024 17:40,30.19,55.97,
20/04/2024 17:30,30.16,55.92,
20/04/2024 17:20,30.13,55.88,
20/04/2024 17:10,30.11,55.84,
20/04/2024 17:00,30.11,55.54,
20/04/2024 16:50,30.14,55.3,
20/04/2024 16:40,30.17,55.06,
20/04/2024 16:30,30.19,54.82,
20/04/2024 16:20,30.22,54.58,
20/04/2024 16:10,30.25,54.35,
20/04/2024 16:00,30.27,54.11,
20/04/2024 15:50,30.3,53.87,
20/04/2024 15:40,30.33,53.63,
20/04/2024 15:30,30.35,53.4,
20/04/2024 15:20,30.11,52.95,
20/04/2024 15:10,30.2,51.23,
20/04/2024 15:00,30.29,49.52,
20/04/2024 14:50,30.38,47.8,
20/04/2024 14:40,30.47,46.09,
20/04/2024 14:30,30.56,44.37,
20/04/2024 14:20,30.65,42.66,
20/04/2024 14:10,30.74,40.94,
20/04/2024 14:00,30.83,39.23,
20/04/2024 13:50,30.92,37.52,
20/04/2024 13:40,31.3,73.62,
20/04/2024 13:30,31.35,69.7,
20/04/2024 13:20,31.4,65.79,
20/04/2024 13:10,31.45,61.88,
20/04/2024 13:00,31.5,57.97,
20/04/2024 12:50,31.54,54.06,
20/04/2024 12:40,31.59,50.15,
20/04/2024 12:30,31.64,46.24,
20/04/2024 12:20,31.69,42.33,
20/04/2024 12:10,31.73,38.42,
20/04/2024 12:00,31.73,73.6,
20/04/2024 11:50,31.71,73.55,
20/04/2024 11:40,31.69,73.51,
20/04/2024 11:30,31.68,73.47,
20/04/2024 11:20,31.66,73.43,
20/04/2024 11:10,31.64,73.39,
20/04/2024 11:00,31.63,73.35,
20/04/2024 10:50,31.61,73.31,
20/04/2024 10:40,31.59,73.27,
20/04/2024 10:30,31.58,73.23,
20/04/2024 10:20,31.8,73.47,
20/04/2024 10:10,31.77,73.42,
20/04/2024 10:00,31.75,73.37,
20/04/2024 9:50,31.73,73.33,
20/04/2024 9:40,31.71,73.28,
20/04/2024 9:30,31.68,73.23,
20/04/2024 9:20,31.66,73.19,
20/04/2024 9:10,31.64,73.14,
20/04/2024 9:00,31.62,73.09,
20/04/2024 8:50,31.6,73.05,
20/04/2024 8:40,31.73,73.52,
20/04/2024 8:30,31.71,73.47,
20/04/2024 8:20,31.69,73.43,
20/04/2024 8:10,31.68,73.39,
20/04/2024 8:00,31.66,73.34,
20/04/2024 7:50,31.64,73.3,
20/04/2024 7:40,31.63,73.26,
20/04/2024 7:30,31.61,73.21,
20/04/2024 7:20,31.59,73.17,
20/04/2024 7:10,31.58,73.13,
20/04/2024 7:00,31.64,73.17,
20/04/2024 6:50,31.58,73.27,
20/04/2024 6:40,31.52,73.37,
20/04/2024 6:30,31.46,73.47,
20/04/2024 6:20,31.4,73.57,
20/04/2024 6:10,31.34,73.66,
20/04/2024 6:00,31.28,73.76,
20/04/2024 5:50,31.22,73.86,
20/04/2024 5:40,31.16,73.96,
20/04/2024 5:30,31.11,74.05,
20/04/2024 5:20,30.92,73.93,
20/04/2024 5:10,30.96,73.99,
20/04/2024 5:00,31,74.04,
20/04/2024 4:50,31.03,74.09,
20/04/2024 4:40,31.07,74.14,
20/04/2024 4:30,31.1,74.2,
20/04/2024 4:20,31.14,74.25,
20/04/2024 4:10,31.17,74.3,
20/04/2024 4:00,31.21,74.35,
20/04/2024 3:50,31.24,74.4,
20/04/2024 3:40,31.11,74.33,
20/04/2024 3:30,31.14,74.4,
20/04/2024 3:20,31.17,74.47,
20/04/2024 3:10,31.2,74.53,
20/04/2024 3:00,31.23,74.6,
20/04/2024 2:50,31.25,74.66,
20/04/2024 2:40,31.28,74.73,
20/04/2024 2:30,31.31,74.79,
20/04/2024 2:20,31.34,74.86,
20/04/2024 2:10,31.36,74.92,
20/04/2024 2:00,30.86,75.01,
20/04/2024 1:50,30.9,75.09,
20/04/2024 1:40,30.93,75.17,
20/04/2024 1:30,30.97,75.24,
20/04/2024 1:20,31,75.32,
20/04/2024 1:10,31.04,75.4,
20/04/2024 1:00,31.07,75.47,
20/04/2024 0:50,31.11,75.55,
20/04/2024 0:40,31.14,75.63,
20/04/2024 0:30,31.17,75.7,
20/04/2024 0:20,31.11,75.67,
20/04/2024 0:10,31.08,75.78,
20/04/2024 0:00,31.05,75.88,
19/04/2024 23:50,31.02,75.98,
19/04/2024 23:40,30.99,76.09,
19/04/2024 23:30,30.97,76.19,
19/04/2024 23:20,30.94,76.29,
19/04/2024 23:10,30.91,76.4,
19/04/2024 23:00,30.88,76.5,
19/04/2024 22:50,30.86,76.6,
19/04/2024 22:40,31.11,76.59,
19/04/2024 22:30,31.07,76.72,
19/04/2024 22:20,31.04,76.85,
19/04/2024 22:10,31,76.98,
19/04/2024 22:00,30.97,77.11,
19/04/2024 21:50,30.93,77.24,
19/04/2024 21:40,30.9,77.37,
19/04/2024 21:30,30.86,77.5,
19/04/2024 21:20,30.83,77.63,
19/04/2024 21:10,30.8,77.75,
19/04/2024 21:00,30.74,77.85,
19/04/2024 20:50,30.83,77.72,
19/04/2024 20:40,30.92,77.59,
19/04/2024 20:30,31.01,77.47,
19/04/2024 20:20,31.1,77.34,
19/04/2024 20:10,31.19,77.22,
19/04/2024 20:00,31.28,77.09,
19/04/2024 19:50,31.37,76.97,
19/04/2024 19:40,31.46,76.84,
19/04/2024 19:30,31.55,76.72,
19/04/2024 19:20,31.35,76.97,
19/04/2024 19:10,31.38,76.94,
19/04/2024 19:00,31.41,76.91,
19/04/2024 18:50,31.43,76.89,
19/04/2024 18:40,31.46,76.86,
19/04/2024 18:30,31.48,76.83,
