Time,Temperature(℃),Humidity(%RH),MAC address(49:22:11:25:0F:1C)
30/05/2024 15:20,32.14,33.86,
30/05/2024 15:10,31.95,37.05,
30/05/2024 15:00,32.24,35.93,
30/05/2024 14:50,33.14,42.51,
30/05/2024 14:40,33.26,66.23,
30/05/2024 14:30,33.2,66.49,
30/05/2024 14:20,33.17,66.72,
30/05/2024 14:10,33.26,63.94,
30/05/2024 14:00,33.23,64.27,
30/05/2024 13:50,33.2,64.59,
30/05/2024 13:40,33.18,64.91,
30/05/2024 13:30,33.15,65.23,
30/05/2024 13:20,33.12,65.55,
30/05/2024 13:10,33.1,65.87,
30/05/2024 13:00,33.07,66.19,
30/05/2024 12:50,33.04,66.51,
30/05/2024 12:40,33.02,66.83,
30/05/2024 12:30,33.28,62.35,
30/05/2024 12:20,33.26,62.76,
30/05/2024 12:10,33.24,63.16,
30/05/2024 12:00,33.23,63.56,
30/05/2024 11:50,33.21,63.96,
30/05/2024 11:40,33.2,64.36,
30/05/2024 11:30,33.18,64.76,
30/05/2024 11:20,33.17,65.16,
30/05/2024 11:10,33.15,65.56,
30/05/2024 11:00,33.14,65.96,
30/05/2024 10:50,33.26,65.73,
30/05/2024 10:40,33.24,65.35,
30/05/2024 10:30,33.23,64.98,
30/05/2024 10:20,33.22,64.61,
30/05/2024 10:10,33.2,64.24,
30/05/2024 10:00,33.19,63.87,
30/05/2024 9:50,33.18,63.5,
30/05/2024 9:40,33.16,63.13,
30/05/2024 9:30,33.15,62.76,
30/05/2024 9:20,33.14,62.39,
30/05/2024 9:10,33.14,58.88,
30/05/2024 9:00,33.11,55.86,
30/05/2024 8:50,33.08,52.85,
30/05/2024 8:40,33.06,49.84,
30/05/2024 8:30,33.03,46.82,
30/05/2024 8:20,33,43.81,
30/05/2024 8:10,32.98,40.8,
30/05/2024 8:00,32.95,37.78,
30/05/2024 7:50,32.92,34.77,
30/05/2024 7:40,32.9,31.76,
30/05/2024 7:30,33.2,32.76,
30/05/2024 7:20,33.13,35.74,
30/05/2024 7:10,33.06,38.71,
30/05/2024 7:00,32.99,41.68,
30/05/2024 6:50,32.92,44.66,
30/05/2024 6:40,32.85,47.63,
30/05/2024 6:30,32.78,50.6,
30/05/2024 6:20,32.71,53.58,
30/05/2024 6:10,32.64,56.55,
30/05/2024 6:00,32.58,59.52,
30/05/2024 5:50,32.64,57.97,
30/05/2024 5:40,32.59,58.55,
30/05/2024 5:30,32.55,59.13,
30/05/2024 5:20,32.5,59.71,
30/05/2024 5:10,32.46,60.29,
30/05/2024 5:00,32.41,60.87,
30/05/2024 4:50,32.37,61.45,
30/05/2024 4:40,32.32,62.03,
30/05/2024 4:30,32.28,62.61,
30/05/2024 4:20,32.24,63.18,
30/05/2024 4:10,32.27,55.73,
30/05/2024 4:00,32.3,52.98,
30/05/2024 3:50,32.33,50.24,
30/05/2024 3:40,32.36,47.5,
30/05/2024 3:30,32.39,44.76,
30/05/2024 3:20,32.41,42.02,
30/05/2024 3:10,32.44,39.28,
30/05/2024 3:00,32.47,36.54,
30/05/2024 2:50,32.5,33.8,
30/05/2024 2:40,32.52,31.06,
30/05/2024 2:30,32.17,34.03,
30/05/2024 2:20,32.21,33.73,
30/05/2024 2:10,32.25,33.43,
30/05/2024 2:00,32.29,33.13,
30/05/2024 1:50,32.33,32.83,
30/05/2024 1:40,32.36,32.53,
30/05/2024 1:30,32.4,32.23,
30/05/2024 1:20,32.44,31.93,
30/05/2024 1:10,32.48,31.63,
30/05/2024 1:00,32.51,31.33,
30/05/2024 0:50,32.39,34.73,
30/05/2024 0:40,32.42,37.87,
30/05/2024 0:30,32.45,41.01,
30/05/2024 0:20,32.48,44.15,
30/05/2024 0:10,32.51,47.29,
30/05/2024 0:00,32.53,50.43,
29/05/2024 23:50,32.56,53.57,
29/05/2024 23:40,32.59,56.71,
29/05/2024 23:30,32.62,59.85,
29/05/2024 23:20,32.64,62.98,
29/05/2024 23:10,32.39,66.09,
29/05/2024 23:00,32.42,65.84,
29/05/2024 22:50,32.45,65.59,
29/05/2024 22:40,32.47,65.34,
29/05/2024 22:30,32.5,65.09,
29/05/2024 22:20,32.53,64.84,
29/05/2024 22:10,32.55,64.59,
29/05/2024 22:00,32.58,64.34,
29/05/2024 21:50,32.61,64.09,
29/05/2024 21:40,32.63,63.84,
29/05/2024 21:30,32.52,66.4,
29/05/2024 21:20,32.59,63.13,
29/05/2024 21:10,32.65,59.87,
29/05/2024 21:00,32.71,56.61,
29/05/2024 20:50,32.77,53.34,
29/05/2024 20:40,32.84,50.08,
29/05/2024 20:30,32.9,46.82,
29/05/2024 20:20,32.96,43.55,
29/05/2024 20:10,33.02,40.29,
29/05/2024 20:00,33.08,37.03,
29/05/2024 19:50,32.95,30.69,
29/05/2024 19:40,32.98,30.93,
29/05/2024 19:30,33,31.16,
29/05/2024 19:20,33.02,31.39,
29/05/2024 19:10,33.04,31.62,
29/05/2024 19:00,33.06,31.85,
29/05/2024 18:50,33.08,32.08,
29/05/2024 18:40,33.1,32.31,
29/05/2024 18:30,33.12,32.54,
29/05/2024 18:20,33.14,32.77,
29/05/2024 18:10,33.14,33.71,
29/05/2024 18:00,33.17,36.05,
29/05/2024 17:50,33.19,38.38,
29/05/2024 17:40,33.21,40.71,
29/05/2024 17:30,33.23,43.04,
29/05/2024 17:20,33.25,45.38,
29/05/2024 17:10,33.27,47.71,
29/05/2024 17:00,33.29,50.04,
29/05/2024 16:50,33.31,52.37,
29/05/2024 16:40,33.33,54.7,
29/05/2024 16:30,33.24,57.3,
29/05/2024 16:20,33.21,54.47,
29/05/2024 16:10,33.19,51.64,
29/05/2024 16:00,33.16,48.82,
29/05/2024 15:50,33.14,45.99,
29/05/2024 15:40,33.11,43.16,
29/05/2024 15:30,33.09,40.34,
29/05/2024 15:20,33.06,37.51,
29/05/2024 15:10,33.04,34.68,
29/05/2024 15:00,33.02,31.86,
29/05/2024 14:50,33.14,32.22,
29/05/2024 14:40,33.05,31.65,
29/05/2024 14:30,32.96,31.08,
29/05/2024 14:20,32.87,30.51,
29/05/2024 14:10,32.78,29.94,
29/05/2024 14:00,32.69,29.38,
29/05/2024 13:50,32.6,28.81,
29/05/2024 13:40,32.51,28.24,
29/05/2024 13:30,32.42,27.67,
29/05/2024 13:20,32.33,27.11,
29/05/2024 13:10,32.9,29.17,
29/05/2024 13:00,32.97,32.28,
29/05/2024 12:50,33.04,35.39,
29/05/2024 12:40,33.11,38.49,
29/05/2024 12:30,33.18,41.6,
29/05/2024 12:20,33.25,44.71,
29/05/2024 12:10,33.32,47.81,
29/05/2024 12:00,33.39,50.92,
29/05/2024 11:50,33.46,54.03,
29/05/2024 11:40,33.52,57.13,
29/05/2024 11:30,33.38,56.44,
29/05/2024 11:20,33.35,57.22,
29/05/2024 11:10,33.32,57.99,
29/05/2024 11:00,33.3,58.76,
29/05/2024 10:50,33.27,59.54,
29/05/2024 10:40,33.24,60.31,
29/05/2024 10:30,33.22,61.08,
29/05/2024 10:20,33.19,61.86,
29/05/2024 10:10,33.16,62.63,
29/05/2024 10:00,33.14,63.4,
29/05/2024 9:50,33.04,62.86,
29/05/2024 9:40,33.06,62.55,
29/05/2024 9:30,33.08,62.24,
29/05/2024 9:20,33.1,61.94,
29/05/2024 9:10,33.12,61.63,
29/05/2024 9:00,33.13,61.33,
29/05/2024 8:50,33.15,61.02,
29/05/2024 8:40,33.17,60.72,
29/05/2024 8:30,33.19,60.41,
29/05/2024 8:20,33.2,60.11,
29/05/2024 8:10,33.39,60.21,
29/05/2024 8:00,33.32,58,
29/05/2024 7:50,33.25,55.8,
29/05/2024 7:40,33.18,53.6,
29/05/2024 7:30,33.11,51.4,
29/05/2024 7:20,33.04,49.19,
29/05/2024 7:10,32.97,46.99,
29/05/2024 7:00,32.9,44.79,
29/05/2024 6:50,32.83,42.59,
29/05/2024 6:40,32.77,40.39,
29/05/2024 6:30,32.61,37.68,
29/05/2024 6:20,32.58,37.16,
29/05/2024 6:10,32.55,36.64,
29/05/2024 6:00,32.53,36.12,
29/05/2024 5:50,32.5,35.6,
29/05/2024 5:40,32.47,35.08,
29/05/2024 5:30,32.45,34.56,
29/05/2024 5:20,32.42,34.04,
29/05/2024 5:10,32.39,33.52,
29/05/2024 5:00,32.37,33.01,
29/05/2024 4:50,32.44,33,
29/05/2024 4:40,32.47,35.44,
29/05/2024 4:30,32.5,37.87,
29/05/2024 4:20,32.53,40.3,
29/05/2024 4:10,32.56,42.73,
29/05/2024 4:00,32.59,45.17,
29/05/2024 3:50,32.62,47.6,
29/05/2024 3:40,32.65,50.03,
29/05/2024 3:30,32.68,52.46,
29/05/2024 3:20,32.7,54.89,
29/05/2024 3:10,32.57,66.98,
29/05/2024 3:00,32.58,65.88,
29/05/2024 2:50,32.59,64.79,
29/05/2024 2:40,32.6,63.7,
29/05/2024 2:30,32.61,62.6,
29/05/2024 2:20,32.61,61.51,
29/05/2024 2:10,32.62,60.42,
29/05/2024 2:00,32.63,59.32,
29/05/2024 1:50,32.64,58.23,
29/05/2024 1:40,32.64,57.14,
29/05/2024 1:30,32.68,67.25,
29/05/2024 1:20,32.64,67.05,
29/05/2024 1:10,32.61,66.86,
29/05/2024 1:00,32.58,66.67,
29/05/2024 0:50,32.55,66.47,
29/05/2024 0:40,32.51,66.28,
29/05/2024 0:30,32.48,66.09,
29/05/2024 0:20,32.45,65.89,
29/05/2024 0:10,32.42,65.7,
29/05/2024 0:00,32.39,65.51,
28/05/2024 23:50,32.61,65.65,
28/05/2024 23:40,32.58,62.21,
28/05/2024 23:30,32.55,58.78,
28/05/2024 23:20,32.53,55.34,
28/05/2024 23:10,32.5,51.91,
28/05/2024 23:00,32.47,48.47,
28/05/2024 22:50,32.45,45.04,
28/05/2024 22:40,32.42,41.6,
28/05/2024 22:30,32.39,38.17,
28/05/2024 22:20,32.37,34.74,
