Time,Temperature(℃),Humidity(%RH),MAC address(49:22:11:25:0F:F3)
30/05/2024 15:20,33.24,29.89,
30/05/2024 15:10,32.81,32.34,
30/05/2024 15:00,32.68,32.39,
30/05/2024 14:50,33.18,46.99,
30/05/2024 14:40,33.58,63.01,
30/05/2024 14:30,33.55,64.05,
30/05/2024 14:20,33.68,64.42,
30/05/2024 14:10,33.66,64.82,
30/05/2024 14:00,33.55,64.5,
30/05/2024 13:50,33.33,64.29,
30/05/2024 13:40,33.37,63.99,
30/05/2024 13:30,33.41,63.7,
30/05/2024 13:20,33.45,63.41,
30/05/2024 13:10,33.49,63.11,
30/05/2024 13:00,33.53,62.82,
30/05/2024 12:50,33.57,62.53,
30/05/2024 12:40,33.61,62.23,
30/05/2024 12:30,33.65,61.94,
30/05/2024 12:20,33.68,61.65,
30/05/2024 12:10,33.54,60.11,
30/05/2024 12:00,33.56,60.5,
30/05/2024 11:50,33.58,60.88,
30/05/2024 11:40,33.59,61.26,
30/05/2024 11:30,33.61,61.64,
30/05/2024 11:20,33.62,62.03,
30/05/2024 11:10,33.64,62.41,
30/05/2024 11:00,33.65,62.79,
30/05/2024 10:50,33.67,63.17,
30/05/2024 10:40,33.68,63.55,
30/05/2024 10:30,33.74,63.23,
30/05/2024 10:20,33.7,62.31,
30/05/2024 10:10,33.66,61.39,
30/05/2024 10:00,33.63,60.47,
30/05/2024 9:50,33.59,59.55,
30/05/2024 9:40,33.56,58.63,
30/05/2024 9:30,33.52,57.71,
30/05/2024 9:20,33.49,56.79,
30/05/2024 9:10,33.45,55.87,
30/05/2024 9:00,33.42,54.95,
30/05/2024 8:50,33.42,46.54,
30/05/2024 8:40,33.4,44.72,
30/05/2024 8:30,33.38,42.9,
30/05/2024 8:20,33.36,41.08,
30/05/2024 8:10,33.34,39.26,
30/05/2024 8:00,33.33,37.45,
30/05/2024 7:50,33.31,35.63,
30/05/2024 7:40,33.29,33.81,
30/05/2024 7:30,33.27,31.99,
30/05/2024 7:20,33.26,30.18,
30/05/2024 7:10,33.55,32.65,
30/05/2024 7:00,33.41,35.54,
30/05/2024 6:50,33.28,38.43,
30/05/2024 6:40,33.15,41.31,
30/05/2024 6:30,33.02,44.2,
30/05/2024 6:20,32.88,47.09,
30/05/2024 6:10,32.75,49.97,
30/05/2024 6:00,32.62,52.86,
30/05/2024 5:50,32.49,55.75,
30/05/2024 5:40,32.36,58.63,
30/05/2024 5:30,32.68,52.58,
30/05/2024 5:20,32.63,53.64,
30/05/2024 5:10,32.59,54.69,
30/05/2024 5:00,32.55,55.74,
30/05/2024 4:50,32.51,56.79,
30/05/2024 4:40,32.47,57.85,
30/05/2024 4:30,32.43,58.9,
30/05/2024 4:20,32.39,59.95,
30/05/2024 4:10,32.35,61,
30/05/2024 4:00,32.31,62.05,
30/05/2024 3:50,32.28,41.23,
30/05/2024 3:40,32.29,39.95,
30/05/2024 3:30,32.3,38.68,
30/05/2024 3:20,32.31,37.41,
30/05/2024 3:10,32.32,36.14,
30/05/2024 3:00,32.33,34.86,
30/05/2024 2:50,32.34,33.59,
30/05/2024 2:40,32.35,32.32,
30/05/2024 2:30,32.36,31.05,
30/05/2024 2:20,32.37,29.78,
30/05/2024 2:10,32.2,30.3,
30/05/2024 2:00,32.24,30.85,
30/05/2024 1:50,32.27,31.4,
30/05/2024 1:40,32.3,31.94,
30/05/2024 1:30,32.33,32.49,
30/05/2024 1:20,32.37,33.04,
30/05/2024 1:10,32.4,33.58,
30/05/2024 1:00,32.43,34.13,
30/05/2024 0:50,32.46,34.68,
30/05/2024 0:40,32.49,35.22,
30/05/2024 0:30,32.44,37.94,
30/05/2024 0:20,32.46,40.78,
30/05/2024 0:10,32.47,43.61,
30/05/2024 0:00,32.48,46.44,
29/05/2024 23:50,32.5,49.27,
29/05/2024 23:40,32.51,52.11,
29/05/2024 23:30,32.52,54.94,
29/05/2024 23:20,32.54,57.77,
29/05/2024 23:10,32.55,60.6,
29/05/2024 23:00,32.56,63.43,
29/05/2024 22:50,32.68,63.23,
29/05/2024 22:40,32.66,63.46,
29/05/2024 22:30,32.65,63.69,
29/05/2024 22:20,32.63,63.92,
29/05/2024 22:10,32.62,64.15,
29/05/2024 22:00,32.6,64.37,
29/05/2024 21:50,32.59,64.6,
29/05/2024 21:40,32.57,64.83,
29/05/2024 21:30,32.56,65.06,
29/05/2024 21:20,32.55,65.28,
29/05/2024 21:10,32.42,64.84,
29/05/2024 21:00,32.53,60.9,
29/05/2024 20:50,32.64,56.96,
29/05/2024 20:40,32.75,53.02,
29/05/2024 20:30,32.86,49.08,
29/05/2024 20:20,32.97,45.14,
29/05/2024 20:10,33.08,41.2,
29/05/2024 20:00,33.19,37.26,
29/05/2024 19:50,33.3,33.32,
29/05/2024 19:40,33.4,29.38,
29/05/2024 19:30,33.43,29.1,
29/05/2024 19:20,33.41,29.51,
29/05/2024 19:10,33.39,29.91,
29/05/2024 19:00,33.38,30.31,
29/05/2024 18:50,33.36,30.71,
29/05/2024 18:40,33.35,31.11,
29/05/2024 18:30,33.33,31.51,
29/05/2024 18:20,33.32,31.91,
29/05/2024 18:10,33.3,32.31,
29/05/2024 18:00,33.29,32.71,
29/05/2024 17:50,33.42,35.41,
29/05/2024 17:40,33.45,37.51,
29/05/2024 17:30,33.48,39.6,
29/05/2024 17:20,33.51,41.69,
29/05/2024 17:10,33.54,43.78,
29/05/2024 17:00,33.57,45.88,
29/05/2024 16:50,33.6,47.97,
29/05/2024 16:40,33.63,50.06,
29/05/2024 16:30,33.66,52.15,
29/05/2024 16:20,33.68,54.24,
29/05/2024 16:10,33.68,54.83,
29/05/2024 16:00,33.63,52.04,
29/05/2024 15:50,33.59,49.26,
29/05/2024 15:40,33.55,46.47,
29/05/2024 15:30,33.51,43.69,
29/05/2024 15:20,33.47,40.9,
29/05/2024 15:10,33.43,38.12,
29/05/2024 15:00,33.39,35.33,
29/05/2024 14:50,33.35,32.55,
29/05/2024 14:40,33.31,29.77,
29/05/2024 14:30,33.43,31.02,
29/05/2024 14:20,33.36,30.78,
29/05/2024 14:10,33.3,30.54,
29/05/2024 14:00,33.24,30.31,
29/05/2024 13:50,33.18,30.07,
29/05/2024 13:40,33.11,29.84,
29/05/2024 13:30,33.05,29.6,
29/05/2024 13:20,32.99,29.37,
29/05/2024 13:10,32.93,29.13,
29/05/2024 13:00,32.87,28.9,
29/05/2024 12:50,33.24,31.55,
29/05/2024 12:40,33.29,34.23,
29/05/2024 12:30,33.34,36.9,
29/05/2024 12:20,33.39,39.58,
29/05/2024 12:10,33.44,42.25,
29/05/2024 12:00,33.49,44.93,
29/05/2024 11:50,33.54,47.6,
29/05/2024 11:40,33.59,50.28,
29/05/2024 11:30,33.64,52.95,
29/05/2024 11:20,33.68,55.62,
29/05/2024 11:10,33.33,56.67,
29/05/2024 11:00,33.37,57.17,
29/05/2024 10:50,33.41,57.67,
29/05/2024 10:40,33.45,58.16,
29/05/2024 10:30,33.49,58.66,
29/05/2024 10:20,33.53,59.16,
29/05/2024 10:10,33.57,59.65,
29/05/2024 10:00,33.61,60.15,
29/05/2024 9:50,33.65,60.65,
29/05/2024 9:40,33.68,61.14,
29/05/2024 9:30,33.42,60.28,
29/05/2024 9:20,33.47,60,
29/05/2024 9:10,33.51,59.72,
29/05/2024 9:00,33.55,59.44,
29/05/2024 8:50,33.6,59.16,
29/05/2024 8:40,33.64,58.88,
29/05/2024 8:30,33.68,58.6,
29/05/2024 8:20,33.73,58.32,
29/05/2024 8:10,33.77,58.04,
29/05/2024 8:00,33.81,57.76,
29/05/2024 7:50,33.68,57.65,
29/05/2024 7:40,33.55,55.26,
29/05/2024 7:30,33.42,52.87,
29/05/2024 7:20,33.3,50.49,
29/05/2024 7:10,33.17,48.1,
29/05/2024 7:00,33.05,45.71,
29/05/2024 6:50,32.92,43.33,
29/05/2024 6:40,32.8,40.94,
29/05/2024 6:30,32.67,38.55,
29/05/2024 6:20,32.55,36.17,
29/05/2024 6:10,32.36,35.49,
29/05/2024 6:00,32.34,35.12,
29/05/2024 5:50,32.32,34.75,
29/05/2024 5:40,32.3,34.38,
29/05/2024 5:30,32.28,34.01,
29/05/2024 5:20,32.26,33.65,
29/05/2024 5:10,32.24,33.28,
29/05/2024 5:00,32.22,32.91,
29/05/2024 4:50,32.2,32.54,
29/05/2024 4:40,32.18,32.18,
29/05/2024 4:30,32.31,32.85,
29/05/2024 4:20,32.36,35.52,
29/05/2024 4:10,32.4,38.18,
29/05/2024 4:00,32.44,40.84,
29/05/2024 3:50,32.49,43.5,
29/05/2024 3:40,32.53,46.17,
29/05/2024 3:30,32.57,48.83,
29/05/2024 3:20,32.62,51.49,
29/05/2024 3:10,32.66,54.15,
29/05/2024 3:00,32.7,56.81,
29/05/2024 2:50,32.55,60.1,
29/05/2024 2:40,32.52,60.78,
29/05/2024 2:30,32.5,61.45,
29/05/2024 2:20,32.48,62.12,
29/05/2024 2:10,32.46,62.79,
29/05/2024 2:00,32.44,63.47,
29/05/2024 1:50,32.42,64.14,
29/05/2024 1:40,32.4,64.81,
29/05/2024 1:30,32.38,65.48,
29/05/2024 1:20,32.36,66.15,
29/05/2024 1:10,32.68,64.17,
29/05/2024 1:00,32.64,64.37,
29/05/2024 0:50,32.6,64.57,
29/05/2024 0:40,32.57,64.76,
29/05/2024 0:30,32.53,64.96,
29/05/2024 0:20,32.5,65.16,
29/05/2024 0:10,32.46,65.35,
29/05/2024 0:00,32.43,65.55,
28/05/2024 23:50,32.39,65.75,
28/05/2024 23:40,32.36,65.94,
28/05/2024 23:30,32.31,62.78,
28/05/2024 23:20,32.33,59.58,
28/05/2024 23:10,32.35,56.38,
28/05/2024 23:00,32.37,53.18,
28/05/2024 22:50,32.39,49.98,
28/05/2024 22:40,32.41,46.78,
28/05/2024 22:30,32.43,43.58,
28/05/2024 22:20,32.45,40.38,
28/05/2024 22:10,32.47,37.18,
28/05/2024 22:00,32.49,33.99,
28/05/2024 21:50,32.31,36.18,
28/05/2024 21:40,32.4,38.35,
28/05/2024 21:30,32.49,40.52,
28/05/2024 21:20,32.58,42.69,
28/05/2024 21:10,32.67,44.86,
28/05/2024 21:00,32.76,47.03,
28/05/2024 20:50,32.85,49.2,
28/05/2024 20:40,32.94,51.37,
28/05/2024 20:30,33.03,53.54,
28/05/2024 20:20,33.11,55.7,
28/05/2024 20:10,33.52,56.55,
28/05/2024 20:00,33.55,56.82,
28/05/2024 19:50,33.58,57.08,
28/05/2024 19:40,33.61,57.34,
28/05/2024 19:30,33.64,57.6,
28/05/2024 19:20,33.67,57.86,
28/05/2024 19:10,33.7,58.12,
28/05/2024 19:00,33.73,58.38,
28/05/2024 18:50,33.76,58.64,
28/05/2024 18:40,33.79,58.9,
28/05/2024 18:30,33.74,58.93,
28/05/2024 18:20,33.7,58.34,
28/05/2024 18:10,33.66,57.75,
28/05/2024 18:00,33.63,57.17,
28/05/2024 17:50,33.59,56.58,
28/05/2024 17:40,33.56,56,
28/05/2024 17:30,33.52,55.41,
28/05/2024 17:20,33.49,54.83,
28/05/2024 17:10,33.45,54.24,
28/05/2024 17:00,33.42,53.66,
28/05/2024 16:50,33.55,51.19,
28/05/2024 16:40,33.5,49.23,
28/05/2024 16:30,33.46,47.28,
28/05/2024 16:20,33.42,45.33,
28/05/2024 16:10,33.38,43.38,
28/05/2024 16:00,33.34,41.43,
28/05/2024 15:50,33.3,39.48,
28/05/2024 15:40,33.26,37.53,
28/05/2024 15:30,33.22,35.58,
28/05/2024 15:20,33.18,33.63,
28/05/2024 15:10,32.42,34.08,
28/05/2024 15:00,32.56,36.97,
28/05/2024 14:50,32.7,39.85,
