Time,Temperature(℃),Humidity(%RH),MAC address(49:42:08:00:59:B8)
22/04/2024 15:50,32.37,24.48,
22/04/2024 15:40,32.06,21.88,
22/04/2024 15:30,32.13,22.19,
22/04/2024 15:20,32.2,22.5,
22/04/2024 15:10,32.27,22.81,
22/04/2024 15:00,32.34,23.12,
22/04/2024 14:50,32.4,23.42,
22/04/2024 14:40,32.47,23.73,
22/04/2024 14:30,32.54,24.04,
22/04/2024 14:20,32.61,24.35,
22/04/2024 14:10,32.67,24.65,
22/04/2024 14:00,32.87,24.03,
22/04/2024 13:50,32.82,23.92,
22/04/2024 13:40,32.77,23.82,
22/04/2024 13:30,32.73,23.72,
22/04/2024 13:20,32.68,23.62,
22/04/2024 13:10,32.63,23.51,
22/04/2024 13:00,32.59,23.41,
22/04/2024 12:50,32.54,23.31,
22/04/2024 12:40,32.49,23.21,
22/04/2024 12:30,32.45,23.11,
22/04/2024 12:20,32.75,23.19,
22/04/2024 12:10,32.71,23,
22/04/2024 12:00,32.67,22.81,
22/04/2024 11:50,32.64,22.63,
22/04/2024 11:40,32.6,22.44,
22/04/2024 11:30,32.56,22.25,
22/04/2024 11:20,32.53,22.07,
22/04/2024 11:10,32.49,21.88,
22/04/2024 11:00,32.45,21.69,
22/04/2024 10:50,32.42,21.51,
22/04/2024 10:40,32.42,21.53,
22/04/2024 10:30,32.49,21.6,
22/04/2024 10:20,32.55,21.67,
22/04/2024 10:10,32.61,21.74,
22/04/2024 10:00,32.67,21.81,
22/04/2024 9:50,32.74,21.88,
22/04/2024 9:40,32.8,21.95,
22/04/2024 9:30,32.86,22.02,
22/04/2024 9:20,32.92,22.09,
22/04/2024 9:10,32.98,22.16,
22/04/2024 9:00,32.87,21.8,
22/04/2024 8:50,32.83,21.97,
22/04/2024 8:40,32.79,22.13,
22/04/2024 8:30,32.76,22.29,
22/04/2024 8:20,32.72,22.45,
22/04/2024 8:10,32.69,22.62,
22/04/2024 8:00,32.65,22.78,
22/04/2024 7:50,32.62,22.94,
22/04/2024 7:40,32.58,23.1,
22/04/2024 7:30,32.55,23.26,
22/04/2024 7:20,32.87,22.8,
22/04/2024 7:10,32.82,22.91,
22/04/2024 7:00,32.78,23.02,
22/04/2024 6:50,32.74,23.13,
22/04/2024 6:40,32.69,23.24,
22/04/2024 6:30,32.65,23.34,
22/04/2024 6:20,32.61,23.45,
22/04/2024 6:10,32.56,23.56,
22/04/2024 6:00,32.52,23.67,
22/04/2024 5:50,32.48,23.77,
22/04/2024 5:40,32.34,23,
22/04/2024 5:30,32.38,23.12,
22/04/2024 5:20,32.42,23.23,
22/04/2024 5:10,32.46,23.34,
