Time,Temperature,Humidity(%RH),MAC address(49:22:11:08:0C:D6)
14/04/2024 16:10,31.35,56.95,
14/04/2024 16:00,31.46,56.24,
14/04/2024 15:50,31.46,55.12,
14/04/2024 15:40,31.35,53.25,
14/04/2024 15:30,31.47,50.8,
14/04/2024 15:20,31.47,46.53,
14/04/2024 15:10,31.42,38.2,
14/04/2024 15:00,31.59,76.8,
14/04/2024 14:50,31.59,76.84,
14/04/2024 14:40,31.44,76.32,
14/04/2024 14:30,31.49,76.37,
14/04/2024 14:20,31.54,76.42,
14/04/2024 14:10,31.58,76.46,
14/04/2024 14:00,31.63,76.51,
14/04/2024 13:50,31.68,76.55,
14/04/2024 13:40,31.72,76.6,
14/04/2024 13:30,31.77,76.64,
14/04/2024 13:20,31.82,76.69,
14/04/2024 13:10,31.86,76.73,
14/04/2024 13:00,31.59,76.34,
14/04/2024 12:50,31.61,76.38,
14/04/2024 12:40,31.63,76.42,
14/04/2024 12:30,31.65,76.46,
14/04/2024 12:20,31.67,76.5,
14/04/2024 12:10,31.68,76.54,
14/04/2024 12:00,31.7,76.58,
14/04/2024 11:50,31.72,76.62,
14/04/2024 11:40,31.74,76.66,
14/04/2024 11:30,31.75,76.7,
14/04/2024 11:20,31.53,76.7,
14/04/2024 11:10,31.58,76.65,
14/04/2024 11:00,31.63,76.61,
14/04/2024 10:50,31.67,76.57,
14/04/2024 10:40,31.72,76.52,
14/04/2024 10:30,31.77,76.48,
14/04/2024 10:20,31.81,76.44,
14/04/2024 10:10,31.86,76.39,
14/04/2024 10:00,31.91,76.35,
14/04/2024 9:50,31.95,76.31,
14/04/2024 9:40,31.77,76.45,
14/04/2024 9:30,31.75,76.39,
14/04/2024 9:20,31.73,76.33,
14/04/2024 9:10,31.71,76.27,
14/04/2024 9:00,31.69,76.21,
14/04/2024 8:50,31.67,76.16,
14/04/2024 8:40,31.65,76.1,
14/04/2024 8:30,31.63,76.04,
14/04/2024 8:20,31.61,75.98,
14/04/2024 8:10,31.59,75.93,
14/04/2024 8:00,31.86,76.23,
14/04/2024 7:50,31.83,76.18,
14/04/2024 7:40,31.8,76.14,
14/04/2024 7:30,31.77,76.1,
14/04/2024 7:20,31.74,76.05,
14/04/2024 7:10,31.71,76.01,
14/04/2024 7:00,31.68,75.97,
14/04/2024 6:50,31.65,75.92,
14/04/2024 6:40,31.62,75.88,
14/04/2024 6:30,31.59,75.84,
14/04/2024 6:20,31.53,75.58,
14/04/2024 6:10,31.52,75.65,
14/04/2024 6:00,31.51,75.71,
14/04/2024 5:50,31.5,75.77,
14/04/2024 5:40,31.49,75.83,
14/04/2024 5:30,31.48,75.89,
14/04/2024 5:20,31.47,75.95,
14/04/2024 5:10,31.46,76.01,
14/04/2024 5:00,31.45,76.07,
14/04/2024 4:50,31.44,76.13,
14/04/2024 4:40,31.59,75.79,
14/04/2024 4:30,31.57,75.88,
14/04/2024 4:20,31.55,75.96,
14/04/2024 4:10,31.53,76.04,
14/04/2024 4:00,31.51,76.12,
14/04/2024 3:50,31.49,76.21,
14/04/2024 3:40,31.47,76.29,
14/04/2024 3:30,31.45,76.37,
14/04/2024 3:20,31.43,76.45,
14/04/2024 3:10,31.42,76.53,
