Time,Temperature(℃),Humidity(%RH),MAC address(49:42:08:00:5A:9C)
17/06/2024 12:10,32.43,27.46,
17/06/2024 12:00,32.34,28.11,
17/06/2024 11:50,32.56,29.17,
17/06/2024 11:40,32.47,29.84,
17/06/2024 11:30,32.53,31,
17/06/2024 11:20,32.45,32.46,
17/06/2024 11:10,32.33,34.18,
17/06/2024 11:00,32.3,36.22,
17/06/2024 10:50,32.32,38.52,
17/06/2024 10:40,32.08,41.03,
17/06/2024 10:30,32.02,42.54,
17/06/2024 10:20,31.97,44.05,
17/06/2024 10:10,31.92,45.55,
17/06/2024 10:00,31.87,47.06,
17/06/2024 9:50,31.82,48.57,
17/06/2024 9:40,31.77,50.07,
17/06/2024 9:30,31.72,51.58,
17/06/2024 9:20,31.67,53.09,
17/06/2024 9:10,31.62,54.59,
17/06/2024 9:00,31.57,54.08,
17/06/2024 8:50,31.6,54.36,
17/06/2024 8:40,31.63,54.63,
17/06/2024 8:30,31.65,54.9,
17/06/2024 8:20,31.68,55.17,
17/06/2024 8:10,31.71,55.44,
17/06/2024 8:00,31.73,55.71,
17/06/2024 7:50,31.76,55.98,
17/06/2024 7:40,31.79,56.25,
17/06/2024 7:30,31.81,56.52,
17/06/2024 7:20,31.54,50.86,
17/06/2024 7:10,31.8,52,
17/06/2024 7:00,32.05,53.13,
17/06/2024 6:50,32.3,54.26,
17/06/2024 6:40,32.55,55.39,
17/06/2024 6:30,32.81,56.53,
17/06/2024 6:20,33.06,57.66,
17/06/2024 6:10,33.31,58.79,
17/06/2024 6:00,33.56,59.92,
17/06/2024 5:50,33.81,61.05,
17/06/2024 5:40,33.58,61.44,
17/06/2024 5:30,33.61,61.35,
17/06/2024 5:20,33.64,61.26,
17/06/2024 5:10,33.66,61.18,
17/06/2024 5:00,33.69,61.09,
17/06/2024 4:50,33.71,61,
17/06/2024 4:40,33.74,60.92,
17/06/2024 4:30,33.76,60.83,
17/06/2024 4:20,33.79,60.74,
17/06/2024 4:10,33.81,60.66,
17/06/2024 4:00,33.58,61.67,
17/06/2024 3:50,33.61,61.56,
17/06/2024 3:40,33.64,61.45,
17/06/2024 3:30,33.66,61.34,
17/06/2024 3:20,33.69,61.23,
17/06/2024 3:10,33.71,61.12,
17/06/2024 3:00,33.74,61.01,
17/06/2024 2:50,33.76,60.9,
17/06/2024 2:40,33.79,60.79,
17/06/2024 2:30,33.81,60.68,
17/06/2024 2:20,33.81,61.44,
17/06/2024 2:10,33.78,61.23,
17/06/2024 2:00,33.75,61.03,
17/06/2024 1:50,33.72,60.83,
17/06/2024 1:40,33.69,60.63,
17/06/2024 1:30,33.67,60.42,
17/06/2024 1:20,33.64,60.22,
17/06/2024 1:10,33.61,60.02,
17/06/2024 1:00,33.58,59.82,
17/06/2024 0:50,33.56,59.62,
17/06/2024 0:40,33.56,58.59,
17/06/2024 0:30,33.59,58.71,
17/06/2024 0:20,33.62,58.82,
17/06/2024 0:10,33.65,58.93,
17/06/2024 0:00,33.68,59.05,
16/06/2024 23:50,33.7,59.16,
16/06/2024 23:40,33.73,59.27,
16/06/2024 23:30,33.76,59.39,
16/06/2024 23:20,33.79,59.5,
16/06/2024 23:10,33.81,59.61,
16/06/2024 23:00,33.82,59.97,
16/06/2024 22:50,33.79,59.85,
16/06/2024 22:40,33.76,59.73,
16/06/2024 22:30,33.74,59.62,
16/06/2024 22:20,33.71,59.5,
16/06/2024 22:10,33.68,59.39,
16/06/2024 22:00,33.66,59.27,
