Time,Temperature,Humidity,MAC Address 49:22:11:25:0F:1C
20/03/2024 11:50,32.64,70.88,
20/03/2024 12:00,32.99,67.33,
20/03/2024 12:10,33.34,63.77,
20/03/2024 12:20,33.7,60.22,
20/03/2024 12:30,34.05,56.66,
20/03/2024 12:40,34.41,53.11,
20/03/2024 12:50,34.76,49.55,
20/03/2024 13:00,35.12,46,
20/03/2024 13:10,35.47,42.44,
20/03/2024 13:20,35.83,38.88,
20/03/2024 13:30,35.64,71.42,
20/03/2024 13:40,35.65,71.75,
20/03/2024 13:50,35.66,72.08,
20/03/2024 14:00,35.68,72.41,
20/03/2024 14:10,35.69,72.74,
20/03/2024 14:20,35.71,73.07,
20/03/2024 14:30,35.72,73.4,
20/03/2024 14:40,35.74,73.73,
20/03/2024 14:50,35.75,74.06,
20/03/2024 15:00,35.77,74.4,
20/03/2024 15:10,35.9,19.85,
20/03/2024 15:20,35.81,26,
20/03/2024 15:30,35.71,32.15,
20/03/2024 15:40,35.61,38.3,
20/03/2024 15:50,35.51,44.45,
20/03/2024 16:00,35.42,50.6,
20/03/2024 16:10,35.32,56.75,
20/03/2024 16:20,35.22,62.9,
20/03/2024 16:30,35.12,69.05,
20/03/2024 16:40,35.02,75.21,
20/03/2024 16:50,35.12,18.59,
20/03/2024 17:00,35.23,22.12,
20/03/2024 17:10,35.34,25.66,
20/03/2024 17:20,35.45,29.2,
20/03/2024 17:30,35.56,32.74,
20/03/2024 17:40,35.67,36.28,
20/03/2024 17:50,35.78,39.82,
20/03/2024 18:00,35.89,43.36,
20/03/2024 18:10,36,46.9,
20/03/2024 18:20,36.11,50.44,
20/03/2024 18:30,35.77,48.95,
20/03/2024 18:40,35.79,49.44,
20/03/2024 18:50,35.82,49.93,
20/03/2024 19:00,35.85,50.42,
20/03/2024 19:10,35.88,50.91,
20/03/2024 19:20,35.9,51.41,
20/03/2024 19:30,35.93,51.9,
20/03/2024 19:40,35.96,52.39,
20/03/2024 19:50,35.99,52.88,
20/03/2024 20:00,36.02,53.38,
20/03/2024 20:10,35.65,53.57,
20/03/2024 20:20,35.67,53.81,
20/03/2024 20:30,35.7,54.05,
20/03/2024 20:40,35.73,54.3,
20/03/2024 20:50,35.76,54.54,
20/03/2024 21:00,35.78,54.79,
20/03/2024 21:10,35.81,55.03,
20/03/2024 21:20,35.84,55.28,
20/03/2024 21:30,35.87,55.52,
20/03/2024 21:40,35.9,55.77,
20/03/2024 21:50,35.9,55.92,
20/03/2024 22:00,35.88,56.12,
20/03/2024 22:10,35.85,56.33,
20/03/2024 22:20,35.82,56.54,
20/03/2024 22:30,35.79,56.74,
20/03/2024 22:40,35.77,56.95,
20/03/2024 22:50,35.74,57.16,
20/03/2024 23:00,35.71,57.36,
20/03/2024 23:10,35.68,57.57,
20/03/2024 23:20,35.65,57.78,
20/03/2024 23:30,35.9,57.98,
20/03/2024 23:40,35.88,58.14,
20/03/2024 23:50,35.85,58.31,
21/03/2024 0:00,35.82,58.48,
21/03/2024 0:10,35.79,58.64,
21/03/2024 0:20,35.76,58.81,
21/03/2024 0:30,35.73,58.98,
21/03/2024 0:40,35.7,59.14,
21/03/2024 0:50,35.67,59.31,
21/03/2024 1:00,35.64,59.48,
21/03/2024 1:10,35.9,59.32,
21/03/2024 1:20,35.88,59.49,
21/03/2024 1:30,35.85,59.66,
21/03/2024 1:40,35.82,59.84,
21/03/2024 1:50,35.79,60.01,
21/03/2024 2:00,35.77,60.18,
21/03/2024 2:10,35.74,60.36,
21/03/2024 2:20,35.71,60.53,
21/03/2024 2:30,35.68,60.7,
21/03/2024 2:40,35.65,60.88,
21/03/2024 2:50,35.76,60.38,
21/03/2024 3:00,35.75,60.52,
21/03/2024 3:10,35.74,60.66,
21/03/2024 3:20,35.72,60.8,
21/03/2024 3:30,35.71,60.94,
21/03/2024 3:40,35.7,61.08,
21/03/2024 3:50,35.68,61.22,
21/03/2024 4:00,35.67,61.36,
21/03/2024 4:10,35.66,61.5,
21/03/2024 4:20,35.64,61.64,
21/03/2024 4:30,35.65,61.23,
21/03/2024 4:40,35.67,61.36,
21/03/2024 4:50,35.7,61.5,
21/03/2024 5:00,35.73,61.64,
21/03/2024 5:10,35.76,61.78,
21/03/2024 5:20,35.78,61.91,
21/03/2024 5:30,35.81,62.05,
21/03/2024 5:40,35.84,62.19,
21/03/2024 5:50,35.87,62.33,
21/03/2024 6:00,35.9,62.47,
21/03/2024 6:10,35.89,62.71,
21/03/2024 6:20,35.91,62.8,
21/03/2024 6:30,35.94,62.9,
21/03/2024 6:40,35.97,62.99,
21/03/2024 6:50,36,63.09,
21/03/2024 7:00,36.03,63.18,
21/03/2024 7:10,36.06,63.28,
21/03/2024 7:20,36.09,63.37,
21/03/2024 7:30,36.12,63.47,
