Time,Temperature(â„ƒ),Humidity(%RH),MAC address(49:42:08:00:6E:9A)
6/04/2024 23:50,38.01,30.8,
6/04/2024 23:40,37.99,30.75,
6/04/2024 23:30,37.97,30.7,
6/04/2024 23:20,37.95,30.65,
6/04/2024 23:10,37.93,30.6,
6/04/2024 23:00,37.91,30.55,
6/04/2024 22:50,37.89,30.5,
6/04/2024 22:40,37.87,30.45,
6/04/2024 22:30,37.85,30.4,
6/04/2024 22:20,37.98,30.27,
6/04/2024 22:10,37.94,30.31,
6/04/2024 22:00,37.9,30.35,
6/04/2024 21:50,37.87,30.38,
6/04/2024 21:40,37.83,30.42,
6/04/2024 21:30,37.8,30.46,
6/04/2024 21:20,37.76,30.49,
6/04/2024 21:10,37.73,30.53,
6/04/2024 21:00,37.69,30.57,
6/04/2024 20:50,37.66,30.6,
6/04/2024 20:40,37.66,30.25,
6/04/2024 20:30,37.71,30.32,
6/04/2024 20:20,37.75,30.39,
6/04/2024 20:10,37.79,30.45,
6/04/2024 20:00,37.83,30.52,
6/04/2024 19:50,37.88,30.59,
6/04/2024 19:40,37.92,30.65,
6/04/2024 19:30,37.96,30.72,
6/04/2024 19:20,38,30.79,
6/04/2024 19:10,38.04,30.85,
6/04/2024 19:00,37.98,30.96,
6/04/2024 18:50,37.96,30.93,
6/04/2024 18:40,37.95,30.9,
6/04/2024 18:30,37.93,30.87,
6/04/2024 18:20,37.92,30.84,
6/04/2024 18:10,37.9,30.81,
6/04/2024 18:00,37.89,30.78,
6/04/2024 17:50,37.87,30.75,
6/04/2024 17:40,37.86,30.72,
6/04/2024 17:30,37.85,30.7,
6/04/2024 17:20,37.84,30.56,
6/04/2024 17:10,37.86,30.61,
6/04/2024 17:00,37.88,30.66,
6/04/2024 16:50,37.89,30.71,
6/04/2024 16:40,37.91,30.76,
6/04/2024 16:30,37.92,30.81,
6/04/2024 16:20,37.94,30.86,
6/04/2024 16:10,37.95,30.91,
6/04/2024 16:00,37.97,30.96,
6/04/2024 15:50,37.98,31.01,
6/04/2024 15:40,37.82,31.11,
6/04/2024 15:30,37.86,30.83,
6/04/2024 15:20,37.89,30.56,
6/04/2024 15:10,37.92,30.29,
6/04/2024 15:00,37.95,30.02,
6/04/2024 14:50,37.99,29.74,
6/04/2024 14:40,38.02,29.47,
6/04/2024 14:30,38.05,29.2,
6/04/2024 14:20,38.08,28.93,
6/04/2024 14:10,38.11,28.66,
6/04/2024 14:00,37.72,25.08,
6/04/2024 13:50,37.77,27.49,
6/04/2024 13:40,37.81,29.89,
6/04/2024 13:30,37.85,32.29,
6/04/2024 13:20,37.89,34.7,
6/04/2024 13:10,37.94,37.1,
6/04/2024 13:00,37.98,39.5,
6/04/2024 12:50,38.02,41.91,
6/04/2024 12:40,38.06,44.31,
6/04/2024 12:30,38.1,46.71,
6/04/2024 12:20,38.04,46.36,
6/04/2024 12:10,38.08,46.18,
6/04/2024 12:00,38.11,46,
6/04/2024 11:50,38.15,45.83,
6/04/2024 11:40,38.18,45.65,
6/04/2024 11:30,38.22,45.47,
6/04/2024 11:20,38.25,45.3,
6/04/2024 11:10,38.29,45.12,
6/04/2024 11:00,38.32,44.94,
6/04/2024 10:50,38.35,44.77,
6/04/2024 10:40,38.04,44.92,
6/04/2024 10:30,38.08,44.99,
6/04/2024 10:20,38.11,45.06,
6/04/2024 10:10,38.15,45.13,
6/04/2024 10:00,38.18,45.2,
6/04/2024 9:50,38.22,45.26,
6/04/2024 9:40,38.25,45.33,
6/04/2024 9:30,38.29,45.4,
6/04/2024 9:20,38.32,45.47,
6/04/2024 9:10,38.35,45.53,
6/04/2024 9:00,38.48,44.65,
6/04/2024 8:50,38.45,44.51,
6/04/2024 8:40,38.42,44.37,
6/04/2024 8:30,38.39,44.24,
6/04/2024 8:20,38.36,44.1,
6/04/2024 8:10,38.33,43.97,
6/04/2024 8:00,38.3,43.83,
6/04/2024 7:50,38.27,43.7,
6/04/2024 7:40,38.24,43.56,
6/04/2024 7:30,38.22,43.43,
6/04/2024 7:20,38.16,43.93,
6/04/2024 7:10,38.19,44.12,
6/04/2024 7:00,38.21,44.3,
6/04/2024 6:50,38.23,44.49,
6/04/2024 6:40,38.26,44.67,
6/04/2024 6:30,38.28,44.86,
6/04/2024 6:20,38.3,45.04,
6/04/2024 6:10,38.33,45.23,
6/04/2024 6:00,38.35,45.41,
6/04/2024 5:50,38.37,45.59,
6/04/2024 5:40,38.07,45.84,
6/04/2024 5:30,38.09,45.96,
6/04/2024 5:20,38.11,46.08,
6/04/2024 5:10,38.12,46.2,
6/04/2024 5:00,38.14,46.32,
6/04/2024 4:50,38.16,46.44,
6/04/2024 4:40,38.17,46.56,
6/04/2024 4:30,38.19,46.68,
6/04/2024 4:20,38.21,46.8,
6/04/2024 4:10,38.22,46.91,
6/04/2024 4:00,38.11,46.63,
6/04/2024 3:50,38.14,46.68,
6/04/2024 3:40,38.17,46.72,
6/04/2024 3:30,38.19,46.76,
6/04/2024 3:20,38.22,46.8,
6/04/2024 3:10,38.25,46.84,
6/04/2024 3:00,38.27,46.88,
6/04/2024 2:50,38.3,46.92,
6/04/2024 2:40,38.33,46.96,
6/04/2024 2:30,38.35,47,
6/04/2024 2:20,38.35,46.99,
6/04/2024 2:10,38.31,47.06,
6/04/2024 2:00,38.28,47.12,
6/04/2024 1:50,38.25,47.18,
6/04/2024 1:40,38.22,47.25,
6/04/2024 1:30,38.19,47.31,
6/04/2024 1:20,38.16,47.37,
6/04/2024 1:10,38.13,47.44,
6/04/2024 1:00,38.1,47.5,
6/04/2024 0:50,38.07,47.56,
6/04/2024 0:40,38.16,47.2,
6/04/2024 0:30,38.14,47.26,
6/04/2024 0:20,38.13,47.32,
6/04/2024 0:10,38.12,47.37,
6/04/2024 0:00,38.1,47.43,
5/04/2024 23:50,38.09,47.48,
5/04/2024 23:40,38.08,47.54,
5/04/2024 23:30,38.06,47.59,
5/04/2024 23:20,38.05,47.65,
5/04/2024 23:10,38.04,47.7,
5/04/2024 23:00,38.17,47.41,
5/04/2024 22:50,38.13,47.47,
5/04/2024 22:40,38.09,47.52,
5/04/2024 22:30,38.05,47.57,
5/04/2024 22:20,38.01,47.63,
5/04/2024 22:10,37.98,47.68,
5/04/2024 22:00,37.94,47.73,
5/04/2024 21:50,37.9,47.79,
5/04/2024 21:40,37.86,47.84,
5/04/2024 21:30,37.83,47.89,
5/04/2024 21:20,37.96,48.02,
5/04/2024 21:10,37.99,47.98,
